target,source,label
gvLQQcdeffefbncqubd,fLLQcbcedeetoaoet,Face: 10
gLLMQbdedeffxkeftnk,fLLQcbcedeetoaoet,Face: 7
gLLPQccdeffftnketwf,fLLQcbcedeetoaoet,Face: 2
gLLMQbdeefffdrdeipr,fLLQcbcedeetoaoet,Face: 1
fvPQcceddeekcnvvc,gvLQQcdeffefbncqubd,Edge: 11
fLLQcbcedeednasmd,gvLQQcdeffefbncqubd,Edge: 9
hLvMQkbfdgegfgadfitvfo,gvLQQcdeffefbncqubd,Face: 10
hvLAQkcdfgefggwnlebuar,gvLQQcdeffefbncqubd,Face: 5
hLvAQkcdefggfgavetxwgw,gvLQQcdeffefbncqubd,Face: 2
fLLQcaddeeejuapxn,gLLMQbdedeffxkeftnk,Edge: 12
hLLPAkccdfefggtnkaanhj,gLLMQbdedeffxkeftnk,Face: 8
hLLAAkcddeffgghrvahwxj,gLLMQbdedeffxkeftnk,Face: 6
fLLQcbcedeetjqjet,gLLPQccdeffftnketwf,Edge: 12
hLLPAkccdfefggtnkaanhj,gLLPQccdeffftnketwf,Face: 9
hLLPAkccdeffggtncxqnhj,gLLPQccdeffftnketwf,Face: 2
hLvAQkbeffgegghaphalro,gLLMQbdeefffdrdeipr,Face: 12
hLLAAkcddeffgghrvahwxj,gLLMQbdeefffdrdeipr,Face: 9
hLLLQkbcgfgfgflspqqkss,gLLMQbdeefffdrdeipr,Face: 6
hLLMMkceceffgglhcaancs,gLLMQbdeefffdrdeipr,Face: 1
gvLQQcdeffeffnjexru,fvPQcceddeekcnvvc,Face: 6
gvLQQcdfeeffwclfntu,fvPQcceddeekcnvvc,Face: 4
gvLQQcdefeffjwopjxp,fvPQcceddeekcnvvc,Face: 2
gLLPQcdefefflcdeqqf,fLLQcbcedeednasmd,Face: 10
gLLMQbcdeffflsbhusb,fLLQcbcedeednasmd,Face: 8
gLLAQbcedfffdnqwhck,fLLQcbcedeednasmd,Face: 7
gLLPQccdeffflbnepwk,fLLQcbcedeednasmd,Face: 6
gLLAQbdeefffevdhhtv,fLLQcbcedeednasmd,Face: 4
iLLLMQcbedgfhghhaafujwogo,hLvMQkbfdgegfgadfitvfo,Face: 9
iLLLMQcbceghfhghaseaoskvc,hLvMQkbfdgegfgadfitvfo,Face: 8
iLvLQQcceghffghhauapdffjn,hLvMQkbfdgegfgadfitvfo,Face: 6
gLLPQcdefefflcdeqqf,hvLAQkcdfgefggwnlebuar,Edge: 11
ivLAMQccdegfhhghwnkeiagnw,hvLAQkcdfgefggwnlebuar,Face: 12
ivLAAQccefeghghhbvagpawnv,hvLAQkcdfgefggwnlebuar,Face: 8
iLvLQQcbdefhghghhfehccvvo,hvLAQkcdfgefggwnlebuar,Face: 6
iLLLMQcbedgfhghhaafujwogo,hLvAQkcdefggfgavetxwgw,Face: 12
iLLLMQcccfghgfhhakaxjkfok,hLvAQkcdefggfgavetxwgw,Face: 11
iLLLMQccdfghhghgqcedjjfcf,hLvAQkcdefggfgavetxwgw,Face: 7
iLLLMQcbedgfhghhaafujwogo,hLvAQkcdefggfgavetxwgw,Face: 2
gLvQQaefdeffjhqmbrk,fLLQcaddeeejuapxn,Face: 10
gLLAQccedeffqvmfqjj,fLLQcaddeeejuapxn,Face: 9
gLLAQadedeffjuldvfj,fLLQcaddeeejuapxn,Face: 7
gLLPQccdeffflbnepwk,fLLQcaddeeejuapxn,Face: 3
gLLPQccdeffftnketwf,hLLPAkccdfefggtnkaanhj,Edge: 10
iLLMLQcccdfgfghhufvabrctj,hLLPAkccdfefggtnkaanhj,Face: 8
iLwAPMcacedfgghhjgaxmmnhj,hLLPAkccdfefggtnkaanhj,Face: 2
gLLMQbdeefffdrdeipr,hLLAAkcddeffgghrvahwxj,Edge: 10
iLLLAQcbcggefhghlspatkqvj,hLLAAkcddeffgghrvahwxj,Face: 14
iLLLQPccdefggfhhqruqiwkmj,hLLAAkcddeffgghrvahwxj,Face: 1
gvLQQcdeffeffnjexru,fLLQcbcedeetjqjet,Face: 6
gLLAQcdceeffqkseqks,fLLQcbcedeetjqjet,Face: 4
gvLQQcdeffeffnjexru,fLLQcbcedeetjqjet,Face: 3
gLLMQbdeefffdgdetpr,fLLQcbcedeetjqjet,Face: 1
gLLAQcdceeffqkseqks,hLLPAkccdeffggtncxqnhj,Edge: 14
iLwAPMcacedfgghhjgaxmmnhj,hLLPAkccdeffggtncxqnhj,Face: 11
iLLLPQccdeggfhhhqruiwfvsc,hLvAQkbeffgegghaphalro,Face: 12
iLLLPQcbcefhghghlstangsvf,hLvAQkbeffgegghaphalro,Face: 10
iLLLPQcbcfehghghlsutojnvf,hLvAQkbeffgegghaphalro,Face: 8
iLvLQQcbdefhghghhfehccvvo,hLvAQkbeffgegghaphalro,Face: 5
iLLvQQccceggfhhhhoxhffvsw,hLvAQkbeffgegghaphalro,Face: 4
iLLLPQcbcefhghghlstangsvf,hLLLQkbcgfgfgflspqqkss,Face: 14
iLLLAQcbcggefhghlspatkqvj,hLLLQkbcgfgfgflspqqkss,Face: 11
iLLLPQcbcfehghghlsutojnvf,hLLLQkbcgfgfgflspqqkss,Face: 9
iLLLAQccefegfghhluxpafjcs,hLLLQkbcgfgfgflspqqkss,Face: 6
iLLLAQcbcfeehghhlsmltivee,hLLLQkbcgfgfgflspqqkss,Face: 4
iLLLQPcbdegffghhhsaepgrxk,hLLMMkceceffgglhcaancs,Face: 14
iLLLQPccdefggfhhqruqiwkmj,hLLMMkceceffgglhcaancs,Face: 11
iLLLAQccefegfghhluxpafjcs,hLLMMkceceffgglhcaancs,Face: 8
iLLLAQccefegfghhluxpafjcs,hLLMMkceceffgglhcaancs,Face: 7
