id,oriented,tetrahedra
fLLQccceddehwhwjw,1,5
gLLPQcdcfeffhsrdqvf,1,6
gLLAQccedfeftnhkhww,1,6
gLALQbcbeeffxhnrvqn,1,6
gLLAQcbdeefftnbmtbj,1,6
hLLMAkbddeffggtvkumvqj,1,7
hLLAAkbcdeefggpfreeshr,1,7
hLLMAkccdefeggtjvmdnqj,1,7
hLLPAkcdcfeegghcrhasxn,1,7
hLALPkbcbefggghxwndabv,1,7
hLALPkbcbefgfghxwsaxjr,1,7
hLLLQkacedgfggjkkjfkos,1,7
hLLPMkacefdfggjkxgjkmn,1,7
hLLLQkcddfeggglgfawjov,0,7
iLLLMQcbdfehghghlvihjwnow,0,8
iLLvQQcacfgfghhhjkvksgeaq,1,8
iLALLQccbbefhghhhqjoxjsog,1,8
iLLAMMcbddeffghhmkbqajaqj,1,8
iLLAMMcbddeffghhmvrqajaqj,1,8
iLLLAQccddfghgghlgfagqcjs,1,8
iLLAPMcbdedffghhtvagksfhw,1,8
iLLMPMcccdffeghhqvvacncqj,1,8
iLLAPMccddegffhhlcvannrxk,1,8
iLLPPMcacdfefghhjkmskkaqj,1,8
iLALLQcbcbfgfhhhxhnhaqfvs,1,8
iLALLQcbcbefhghhhxwnakbfj,1,8
iLALLQcbcbfhfhghxhnuutknk,1,8
iLLLAQcaceefghhhjkfjwfpmq,1,8
iLLLAQcaceefghhhjkvcwfhil,0,8
iLLMwQcbceefhgghebdxxdvsn,0,8
iLLzMQcaceefghghnkxccaajk,1,8
iLLLAQcbddfgghghajfpkgeok,0,8
jLLLzQQcddhghgiiilgfkkvfhmm,0,9
jLLLMPQbddfhighiiajfpldoptv,0,9
jLLLzQQacgfifhihijkocukeqhr,1,9
jLALLMQcbbefghiiihqjoxcvipx,1,9
jLALLMQcbbefghiiihqjoxkkipx,1,9
jLLLQMPcdfgfgfhiiikqutvkhxn,1,9
jLLLMQPcdfeghggiiqcetbngfqj,1,9
jLLLQMPbedgefghiihifhpfrpqj,1,9
jLLLPQPcdefggghiiqrumvfcbqj,1,9
jLvPLQQccgfgihihiqjavvvvknc,0,9
jLLALQPbcedfgghiiebdrrcveqj,1,9
jLLLPAQbdfefhhhiidwedwfksqj,1,9
jLLLMMQccfeghihhipvadrfhsor,1,9
jLLLPPQcedheghiiiqqfejsfida,1,9
jLLLAQPcddfgghgiipkrtrnhkqj,1,9
jLLALPQbdedgihhhihgakbqexlj,1,9
jLLLMQPbcfggfghiidfpacrkvhw,0,9
jLLLMQPbcdggfhgiidfkxfkavxk,1,9
jLLLAQPcddfgfhgiilgfagsmnhw,1,9
jLLAzQPbdedgfghiitvagknfihr,1,9
jLALLAQbcbfhfghiixhnhuqgwqn,1,9
jLALLMQcbbffghiiiqhrqxavxei,1,9
jLAvLQQcbbfhgihiiqhrxagscws,1,9
jLALLPQbcbffhgiiihxwuxgrbfo,1,9
jLLLAPQbdffehihiilvqqttplxb,0,9
jLLLAAQaceegghiiijkvckneukk,0,9
