target,source,label
fLLQcadedeejuldpv,eLAkaccddnnbqj,Face: 7
fLAMcaccdeensjxhw,eLAkaccddnnbqj,Face: 5
fLLQcacdeeenkepco,eLAkaccddnnbqj,Face: 4
fLLQcacdedenbxark,eLAkaccddnnbqj,Face: 3
gLLAQbddeeffxwnxxbj,fLLQcadedeejuldpv,Face: 10
gLLAQbdedffflvurxno,fLLQcadedeejuldpv,Face: 9
gLLAQbdcefffhgwqugc,fLLQcadedeejuldpv,Face: 8
gLLAQbceeeffebdqqhw,fLAMcaccdeensjxhw,Face: 9
gLLAQbdedffflvurxno,fLLQcacdeeenkepco,Face: 9
gLLAQadedfffnxxhgkg,fLLQcacdeeenkepco,Face: 5
gLLAQaddeeffjiapcfw,fLLQcacdedenbxark,Face: 9
gLLAQaeddeffnmadcok,fLLQcacdedenbxark,Face: 7
hLLAPkacedfgggjkumtako,gLLAQbddeeffxwnxxbj,Face: 9
hLLAMkcddeffggtrvaqsus,gLLAQbddeeffxwnxxbj,Face: 6
hLLPAkcdeffeggqrddqqxk,gLLAQbddeeffxwnxxbj,Face: 4
fLLQcacdeeenkepco,gLLAQbdedffflvurxno,Edge: 12
hLLAMkbdedfgggevxsluxi,gLLAQbdedffflvurxno,Face: 9
hLLAMkadedffggnxxhggaj,gLLAQbdcefffhgwqugc,Face: 6
hLLAMkbdedfgfgdwqslqkj,gLLAQbceeeffebdqqhw,Face: 6
hLLAPkacedfgggjkumtako,gLLAQbceeeffebdqqhw,Face: 5
hLLAPkbdcefgggevwugvco,gLLAQadedfffnxxhgkg,Face: 8
hLLAMkbdeeffggevdpagnk,gLLAQadedfffnxxhgkg,Face: 7
hLLAAkbcdeffgghkvhqjiw,gLLAQadedfffnxxhgkg,Face: 4
hLLLQkadgfefggjiigcvwo,gLLAQaddeeffjiapcfw,Face: 10
hLLAMkadedffggnxxhggaj,gLLAQaddeeffjiapcfw,Face: 8
hLLLQkadgfefggjiigcvwo,gLLAQaeddeffnmadcok,Face: 10
hLLAPkaddefgfgjuapotkj,gLLAQaeddeffnmadcok,Face: 7
hLLAPkbdcefgggevwugvco,gLLAQaeddeffnmadcok,Face: 6
hLLLQkadgfgefgnuxgfksc,gLLAQaeddeffnmadcok,Face: 1
gLLAQbceeeffebdqqhw,hLLAPkacedfgggjkumtako,Edge: 11
iLLLAQcbcfegghghlsuduwagn,hLLAPkacedfgggjkumtako,Face: 9
iLLAPMcacedfgghhjktelpktj,hLLAPkacedfgggjkumtako,Face: 2
iLLLAQcbcefgghghlsudugawn,hLLAMkcddeffggtrvaqsus,Face: 9
iLLLAQccdefggfhhlruqpkkaj,hLLAMkcddeffggtrvaqsus,Face: 1
iLLLAQcbcfegghghlsuduwagn,hLLPAkcdeffeggqrddqqxk,Face: 11
iLLLAQcbcefgghghlsudugawn,hLLPAkcdeffeggqrddqqxk,Face: 8
gLLMQbeeffefhhamlii,hLLAMkbdedfgggevxsluxi,Edge: 10
gLLAQaddeeffjiapcfw,hLLAMkadedffggnxxhggaj,Edge: 11
iLLAPMcacedfgghhjktelpktj,hLLAMkbdedfgfgdwqslqkj,Face: 11
iLLAPMcbcedfgfhhtsxfjojxn,hLLAMkbdedfgfgdwqslqkj,Face: 9
gLLAQaeddeffnmadcok,hLLAPkbdcefgggevwugvco,Edge: 11
iLLAwQcbdedfhghhlvarxaivb,hLLAPkbdcefgggevwugvco,Face: 12
iLLLMQcccdfhghghtnrixwxwh,hLLAPkbdcefgggevwugvco,Face: 8
iLLPzQcccdefhgghpvrewxfwj,hLLAPkbdcefgggevwugvco,Face: 2
iLLLMQcbdgffhgghevqekfvnk,hLLAMkbdeeffggevdpagnk,Face: 8
iLLLMQcbceffhgghdwpmjvwrk,hLLAMkbdeeffggevdpagnk,Face: 1
iLLLMQcccdfhghghtnrixwxwh,hLLAAkbcdeffgghkvhqjiw,Face: 10
iLLLMQcbdgffhgghevqekfvnk,hLLAAkbcdeffgghkvhqjiw,Face: 9
iLLMMPcccdfegghhlwvaiqikr,hLLAAkbcdeffgghkvhqjiw,Face: 5
gLLAQaeddeffnmadcok,hLLLQkadgfefggjiigcvwo,Edge: 11
iLLAwQcbdedfhghhlvarxaivb,hLLLQkadgfefggjiigcvwo,Face: 13
iLLLMQccddefhhghhsgprxdrx,hLLLQkadgfefggjiigcvwo,Face: 2
iLLPzQcccdefhgghpvrewxfwj,hLLAPkaddefgfgjuapotkj,Face: 11
iLLALQcbdceggfhhhgrxbgjaj,hLLAPkaddefgfgjuapotkj,Face: 6
iLvAAQcadfdgfghhjxxrgbran,hLLAPkaddefgfgjuapotkj,Face: 5
iLLLMQccddefhhghhsgprxdrx,hLLLQkadgfgefgnuxgfksc,Face: 12
iLLALQcbdceggfhhhgrxbgjaj,hLLLQkadgfgefgnuxgfksc,Face: 9
iLLMwQcaddefghhhniamsxmgf,hLLLQkadgfgefgnuxgfksc,Face: 8
hLLPAkcdeffeggqrddqqxk,iLLLAQcbcfegghghlsuduwagn,Edge: 10
jLvPAQPafegffhhiinxxggghxrj,iLLLAQcbcfegghghlsuduwagn,Face: 7
