id,oriented,tetrahedra
fLLQccecddelhccjn,1,5
gLLQPccddeffpfnouhj,1,6
gLLAQccedfefqfhjhwn,1,6
gLvQQcdcfeefhrnqhrk,1,6
fLLQcacdeeenkedwo,1,5
hLLAAkcedeefgghtvaqhxr,1,7
hLLPAkcdcfefgghsradrps,1,7
hLLMAkcbedffggpnaruodr,1,7
hLLAAkaeddefggnmadcfhn,1,7
gLLMQbcdefffebbqino,1,6
gLLAQbcedefftsxflsw,1,6
gLvQQaefdeffnuqhffj,1,6
iLLAMPcbdeefgghhxvtxawcuj,1,8
iLLLQMcccfgfefhhqfaalrfxj,1,8
iLLALQcbdcefgghhlvrxvsrik,1,8
iLLLQPcbddfegghhlvwhncotn,1,8
iLLLAQccbdgfhghhujnajicxx,1,8
iLLALQcacedgfhhhnktiakjjk,1,8
iLLLPQcceffgehghtqdddnkjj,1,8
iLLLAQcadgfgfhghnuxgfjhck,1,8
hLLMMkbceefgggebxiacsr,1,7
hvLPQkcdefgfggkjftxpeb,1,7
hLLAMkbdedfgggevxsleli,1,7
hLLAPkacdegfggjbxxaafo,1,7
hLLAAkcddeffgghrjahoxk,1,7
hLLLQkbcfgegfgebpahfrc,1,7
hLLAAkcedeffggptvauqxj,1,7
hLvAQkaeffegggjuqrcjjc,1,7
hLLAMkcedeffggtuvpiwwk,1,7
hLvAQkadffegggjuqjcjrv,1,7
jLLAwMQbdeefgihiixvtxabaqwo,1,9
jLLAvQQacedfgihiinktikoccgb,1,9
jLLLMAQccfeghhihiqfahsrrdsk,1,9
jLLLMPQbdgffiigihhgxxgqirtn,1,9
jLLAPLQbdecgfhiiidwajwjaqfb,1,9
jLLLLQQaeefifhihijixbakueto,1,9
jLLLPAQbddfeghhiidwfgnovfxj,1,9
jLLAvQQbdecghhhiidwajkhxllw,1,9
jLLLAMQcddfegihiitgfarkumbj,1,9
jLLvPQQaeghfgiiihnmbwvbappr,1,9
jLLLwQQcddffhghiihsgirdrxjj,1,9
jLLPLPQccdffiihihujvagaddew,1,9
jLLLAPQcddefigiihhsgpbtrqsw,1,9
jLLAwMQbdedfhgiiilvugaurccf,1,9
jLLAzAQacedgfhhiinktitkbcij,1,9
jLLLLQQbcdhgighhitskjwqgffj,1,9
jLLLLQQaeeghfhhiijlicdrxxtr,1,9
jLLzMQPaceefghgiinsacvxqrqn,1,9
jLLALPQbdceggihhihgrxbwhajs,1,9
jLLLLQQaefgfghhiijqegvralss,1,9
jLLLAAQbedfehgihihhfxaxsqrn,1,9
iLLMLQcbceefhghhebxinffvc,1,8
iLLAwQcbdedfhghhdsavpaaks,1,8
iLLLMQccedfghhghpqrabrrsr,1,8
iLvAMQccdegfhghhlveajfngv,1,8
ivLAMQcdcfghfghhooaumqhcc,1,8
iLvAMQccdeghfghhhvutkrkvg,1,8
iLLvQQccdfehghghtwxicbobv,1,8
ivLAMQccefgfghhhvvuphauwr,1,8
ivLAAQcceffgghhhbvepaqajk,1,8
gLLMQbeeffefetdqtqi,1,6
iLLLMQcbdeehgghhejqqkkoon,1,8
iLLAzQcbdedfhghhevxsfhste,1,8
gLLMQacdfeffjbxccjk,1,6
iLLAPMcccedgfghhqfxfccfhw,1,8
iLLALQccddehhgghhrjatasgl,1,8
iLLLMQcccfghgfghqfaabgfwr,1,8
iLLALQccdeefghhhtgpuocvgc,1,8
ivLLQQccegfhfghhfwlluptjw,1,8
iLLALQccedehghghtuvpgoonf,1,8
iLLLAQcbcfeghhghdfpqmlajh,1,8
iLLAwQcbdeefhgghdwalahcsn,1,8
iLLwMQcaedghfhghjiewibpst,1,8
iLLLMQcbdggfgfhhhglhgbkon,1,8
iLLLPQcbcfghgfhhdfpirforn,1,8
iLLvQQccdhfeghghlkxtsrkwv,1,8
iLLLAQcacgefhhghjkncnixvx,1,8
