id,oriented,tetrahedra
fLAMcbbcdeeemkxhw,1,5
gLALQbcbeeffxhnsjhn,1,6
gLAMPaccdeffjgbqhxn,1,6
gLLPQcdcefffqsjalwn,1,6
gLALQbcbeeffhxwgban,1,6
hLLMAkaddeefggjuadjvhw,1,7
hLLAAkacdeefggjkadjdhr,1,7
hLLAAkcedefegglhvahaqj,1,7
hLLAAkbcedefggtsafaohr,1,7
hLLAAkbdedffggerdgasak,1,7
hLLAAkbddeffggdwgumvin,1,7
fLAMcaccdeejsnqqj,1,5
iLLPLQcccdffhgghqvfasqokj,1,8
iLLPPPccdcfegghhqsjangsps,1,8
iLLMPPcacdfgfghhjkafhbavj,1,8
iLLMAMcbcdeffghhdfbmufuhw,1,8
iLLPAMccdcfefghhqsjmqwxxk,1,8
iLLAPPcccdefgghhqvvhsvjqw,1,8
iLLLPQcccehgfgghqfahfnjor,1,8
iLLMMPcbceefgghhtsauabcln,1,8
iLLAPPcceddgfghhtivngsfuj,1,8
iLLLQMcbdeeggghhdwhhigoqs,1,8
iLvAMQcaefeghghhjxqbwawqt,1,8
iLLALQcbddefghhhdwgurkulq,1,8
gLLAQacedeffjktiklw,1,6
gLLAQcceeefflnmqmhw,1,6
gLLQPacdedffjsxanxk,1,6
jLvAMQPadfdgfghiinxxrgbraxk,1,9
jLLLMPQcddegghhiilgfmnjxeow,1,9
jLLMLQPaceffgghiijktbjhxbqj,1,9
jLLPzQPcdcfgfghiihsrasfoahr,1,9
jLvPLQQccefgihihihrackcbgkw,1,9
jLLLAAQbcgfeghhiitsmipsehvk,1,9
jLvAMMQaefgfgihiijxqofjqacg,1,9
jLLALMQceddfhihiitivnshdias,1,9
jLLLMAQcedffhghiiitsancgsqw,1,9
jLLLMAQcedffhghiiitfanvgfhw,1,9
jLLMLQPbcdffghhiitsrmsbhusr,1,9
hLLAMkbdedffggtvugafhn,0,7
hLLMAkbcdeffggdfbtqfmj,1,7
hLLMMkbcdeffggdfbltkun,1,7
hLLAMkcedefgfgqpvtxgkw,1,7
hLLAAkacdeefggjkdxniqj,1,7
hLLMMkbceeffggtsdxawkr,1,7
hLLPAkbddeefggdwsmlwhr,1,7
hLLLQkbdfegggfxvqmdvrj,1,7
hLLLQkaeedffggnlisrrsw,1,7
hLLAMkbddefgfgtvnuaqrs,1,7
iLLzPQcaceefghghjkxnkxakj,1,8
kLLMwQzkaceefhghijjjktfstlctqj,1,10
kLvLAQAkbefegihhijjdxexcngobir,1,10
kLLLzQMkccfehgiiijjlnaaccaaxqw,1,10
kLLLLAQkcddgihgijjjlgfnivvatdv,1,10
kLLLLQPkcddgihgijjjlgfnivcaeuc,1,10
kLLLLQMkcedifhhhijjpircfvcwodk,1,10
kLLLzQMkccfehigiijjlnaacxvaxqw,1,10
kLLLLQMkcedifhhhijjpircsvcbodk,1,10
kLLLALQkcddfggijijjlgfagnubwsf,1,10
iLLAzQcbdedghghhtvugbafed,0,8
iLLLAQccddfghghhlgfaslbdx,0,8
iLLPLQcaedefghhhnqaxcumfv,0,8
iLLMAMcbcdeffghhdfbhqslxk,0,8
iLLALQcaedefghhhjtmpohpgv,1,8
iLLLMQccefegghghtuqtlswnr,1,8
iLvLQQcaeghfhfghnxrrkrnkr,1,8
iLLAPMcbdedgfghhhgakgwwiw,1,8
iLLLAQcbcffehhghdfpudxini,1,8
iLLLAQcbcfgfehhhdfpaejqmp,1,8
iLLALQcbdcefgghhlvnxvcrts,1,8
iLLAwQcbdeefhgghevdpamkrs,1,8
iLLPMMcacefefghhnkxjccaxk,1,8
iLvAPQcaefhggfghjhqhsjbsw,1,8
iLLLAQccddefhghhporlbajht,1,8
iLLAPMcceddgfghhtdvnbkfir,1,8
iLLLQPccddefgghhpkrdgvjqw,1,8
iLLLQMcbdffefghhlvddtvoxk,1,8
iLLAAMcbdedffghhdwxvacihw,1,8
iLvAMQcbfeghgfghxaxaqrkbj,1,8
iLLALQcbdedhhfghtvagiiwnp,1,8
iLLPLQcccdegfghhubfejkfds,1,8
iLLLAQcadeefhhhgnuxvclaak,1,8
iLLLAQcacdfgfhghjkrwfkmjr,1,8
iLLMLQcacdffgghhjkawwhtvj,1,8
iLLAMPcbdedfghghdvxwxxxnk,1,8
iLLAPMcbddegffhhxvrisjjqs,1,8
jLLMMLQbceefghihiebdxxfhxjw,1,9
jLLPPLQccdefgihiipvfdfftibc,0,9
jLLLzQQcdfgihihhipwiptrujwh,0,9
jLLLMPQbdefhighiilvppjefgpm,0,9
jLLALPQbddeghihiixvrxvpetuo,0,9
jLLLLQQbcfffghiiiebtkcbbgco,0,9
jLLAPLQbdcefghiiievnlgvaqcb,0,9
jLLLLQQbcfhifggiilsisjsnrbc,0,9
jLLAPLQbdedgfhhiitwaoovmuck,0,9
jLLMMMPbceefgghiidfapavwaqj,0,9
jLLLMMQbdeghgihhilvptjcqwgj,0,9
jLLLAPQbcffegihiidfpudfdhrc,1,9
jLLLwQQccfghfhihitwaajfwpcr,1,9
jLLALPQaedehghiiijtmplqqksf,1,9
jLLLwQQceffghgiiiutlijonvbc,1,9
jLvLAQQaehefgihiinxvcnkmcea,1,9
jLLLLQQadeghigihinuxnupnepv,1,9
jLLLLQQbcdhigighilsnoeopvfq,1,9
jLLAvQQbdeeggiiihevdpcfhipr,1,9
jLLvQAQcddghfgiiihojgjfwhht,1,9
jLLLPMQaedhhfgiiijxaeeospik,1,9
jLLLLQQaefegghiiijtevwfmiko,1,9
jLLAzPQbdeefgiihievdptflasj,1,9
jLLAPLQbdcegfihiilvnxjvdanf,1,9
jLLALMQbdcegghihilvnxrsqhsk,1,9
jLLALQPcedeggfhiituvpvswcqj,1,9
jLLLwQQaeegifgihinixstwjujb,1,9
jLLPLPQcdcfgiiihhhrrqsqaaqj,1,9
jLLLPAQbcfehfhhiidfpdnbnfxn,1,9
jLvAAMQcdegegihhiuvuadbxmwn,1,9
jLLAzMQceddghihiitdvnbhldab,1,9
jvLALQQcdehghgiiikovxankvvk,0,9
jLLLLQQacgihfhhiijkfqqkhdhm,1,9
jLLLLQQacghifhhiijkfxxkhdhm,1,9
jLLLLQQccfhifgiihdvasnfvovn,1,9
jLLLAQPcddefghhiilgfmksetbj,1,9
jLLLLQQccegfghhiilnmgjkjokr,1,9
jLLLLQQbcfigghiihdfpjfwfvvn,1,9
jLLLMQPbdfghgfgiihgihobnoqj,1,9
jLLALAQbdedghghiidwxvgxfmfk,1,9
jLLLPMQcdeghgihhitcmlwjqcwj,1,9
jLLzAQPcdfgffghiitklatksixk,1,9
jLLAvQQbdedgfhiiitvagswhion,1,9
jLLLPPQcddghfgihilgfgbrcljj,1,9
jLLLAAQbdfgeghihidwmpdnxhrs,1,9
jLLALMQbdedgfiihihgakbklpjo,1,9
jLLMLPQbdedfgihhitjafnfitsj,1,9
jLLLzQQacfghfigiijkvvhkqjok,1,9
jLLALPQbdedfgihhitjasvsetsj,1,9
jLLLAMQcddggfhihiqvficfumkj,1,9
jLLLMPQacfefihgiijkgcvtljfc,1,9
jLLLLQQccefhigghipvxcwocnnw,1,9
jLLPwPQacffegiiihjkegcljcnj,1,9
jLLLLQQccefhigghiubxcbfbjnk,1,9
jLvAAPQadfegfhihinaqcvwaqnw,1,9
jLLLzQQacegfhhhiijkvkvxltaj,1,9
jLLwQMPacefegghiijktgwlxwqs,1,9
jLLMLMQbcdeggihhitkbhnbqtsj,1,9
jLLPLQPcdcfgfghiihsrasfoahr,1,9
jLLPPzQccdegfhihihkgmvfhxwn,1,9
kLLAwAPkbdedfhgijijdwaslhhxanj,1,10
kLLvMQPkccggifhijjjtwabjfvcqee,0,10
kLLAPzPkbdedgfhijjjtwaoovdorrv,0,10
kLLPPzPkccffeghijjjdvpalsagrog,0,10
kLvLAMQkbegefhjijijdmhtcftwtgi,0,10
kLLLALQkbcfgehjijijdfpatapmgkj,0,10
kLLLMMPkbdefhgiijjjlvppjoxuxin,0,10
kLLLMwQkbcefhhjihjjlsudbnaqcnr,0,10
kLLLLPQkccefjjjihiitnpbpuinkjr,0,10
kLLPwAPkccdefghjijjpgomiiaaqvb,0,10
kLLALMPkbdedfghjjijtwaovoajvkn,0,10
kLLPwMPkccdfegiihjjubwxilrsjdj,0,10
kLLLPLQkccfghjhhjijuneuwakjlsw,0,10
kLLALLQkbdedfhiiijjtwaovathfck,0,10
kLLvPQAkcdhgffghijjufajgffbgqs,0,10
kLLLPwQkacefghijhjjjksbjhulkkw,0,10
kLLAzwQkbdedghhjjijtwaooapqorc,0,10
kLLvQLQkcddghigjijjhojgjagmmdg,0,10
kLLAwQzkbdedfghhijjevdslddkahw,0,10
kLLMLPAkbcdehghihjjebbmhrhmmxn,0,10
kLvAMQzkcdegfhhgijjtjamcjwkmxk,0,10
kLvAMAAkbefgehghijjedldebjnmhr,0,10
kLLLPAAkbcfgfhhihjjebpxkrjhvxn,0,10
kLLLPMPkccfgfhhijjjpvepgbkepno,1,10
kLLAvMQkccedihjhjijubecieaumvb,1,10
kLLLMPPkcceefhihjjjpvedvrdoubn,1,10
kLLLzMQkbcfehjiijjidoedfppqpmq,1,10
kLLLPwQkcddggfhijjjhsggfbbiugc,1,10
kLLLLQMkccfgifihjjjtwabjfwfaee,1,10
kLLwvQQkccdgijhhiijibvvqtvciqk,1,10
kLLALLQkaedehhiijjjjtmplqkskbw,1,10
kLLALLQkaedehhiijjjjtmplqkskwb,1,10
