target,source,label
gLLAQbcdefffebbqhck,fLLQcbecdeehhssmu,Face: 8
gLLMQacdefffnkxwgkg,fLLQcbecdeehhssmu,Face: 6
gLLAQbcedefflsajlon,fLLQcbecdeehhssmu,Face: 5
hLLLQkbdfgegfgevdpebbc,gLLAQbcdefffebbqhck,Face: 12
hLLLQkbdegefggevipegoc,gLLAQbcdefffebbqhck,Face: 10
hLLLQkcdegffgghslmlkns,gLLAQbcdefffebbqhck,Face: 9
hLLLQkbdfgefggevhhekgw,gLLAQbcdefffebbqhck,Face: 6
hLLAMkccdefgggakvhqhei,gLLAQbcdefffebbqhck,Face: 3
hLLLQkbdfgegfgevdpebbc,gLLMQacdefffnkxwgkg,Face: 10
hLLLQkbdfgegfgevdpebbc,gLLMQacdefffnkxwgkg,Face: 8
hLLMMkacdfefggnkxcckqw,gLLMQacdefffnkxwgkg,Face: 2
hLLLQkbdegefggevipegoc,gLLAQbcedefflsajlon,Face: 10
hLLLQkbdegefggevipegoc,gLLAQbcedefflsajlon,Face: 8
hLLPMkacefefggnkxkccqw,gLLAQbcedefflsajlon,Face: 1
gLLMQacdefffnkxwgkg,hLLLQkbdfgegfgevdpebbc,Edge: 10
iLLLAQccddfgghhhukftkgtpd,hLLLQkbdfgegfgevdpebbc,Face: 12
iLLALQcccdefghhhakvhcwlhl,hLLLQkbdfgegfgevdpebbc,Face: 9
ivLAAQcecfgfghhhkkpemaanw,hLLLQkbdfgegfgevdpebbc,Face: 7
iLLvQQccdegghghhpwqpgjovo,hLLLQkbdfgegfgevdpebbc,Face: 5
iLLLQMccddegfghhtgfdbfgik,hLLLQkbdfgegfgevdpebbc,Face: 2
gLLAQbcedefflsajlon,hLLLQkbdegefggevipegoc,Edge: 10
iLLAwQcbdedfhghhevdsleinf,hLLLQkbdegefggevipegoc,Face: 12
iLLALQcbcedfhghhlsajoucll,hLLLQkbdegefggevipegoc,Face: 9
iLLMMMcbceefgghhdfapavshk,hLLLQkbdegefggevipegoc,Face: 1
ivLAAQcdeefghhghrvjelajvj,hLLLQkcdegffgghslmlkns,Face: 12
ivLAAQccefgfghhhvjtpmaarb,hLLLQkcdegffgghslmlkns,Face: 10
iLLLMQccdefghghhhslawgcss,hLLLQkcdegffgghslmlkns,Face: 6
gLLAQcdcefffhsrphos,hLLLQkbdfgefggevhhekgw,Edge: 9
iLLLAQccddfgghhhukftkgtpd,hLLLQkbdfgefggevhhekgw,Face: 14
iLLLPQccddhgfghhukfkwjrkr,hLLLQkbdfgefggevhhekgw,Face: 13
iLLAwQcbdedfhghhevdsleinf,hLLLQkbdfgefggevhhekgw,Face: 12
ivLAAQcdeefghhghrvjelajvj,hLLLQkbdfgefggevhhekgw,Face: 11
iLLLPQccddfghghhukfbwfoko,hLLLQkbdfgefggevhhekgw,Face: 10
iLLLPQcbcgefhghhlshtgcgrr,hLLLQkbdfgefggevhhekgw,Face: 9
iLLALQcbcedgghhhajhfsslda,hLLLQkbdfgefggevhhekgw,Face: 7
iLLALQcccdefghhhakvhcwlhl,hLLAMkccdefgggakvhqhei,Face: 14
iLLALQcbcedfhghhlsajoucll,hLLAMkccdefgggakvhqhei,Face: 12
iLLLAQccdggfghhhhshilvapp,hLLAMkccdefgggakvhqhei,Face: 8
gLLAQadedeffnmllwok,hLLMMkacdfefggnkxcckqw,Edge: 12
iLLLQMccddegfghhtgfdbfgik,hLLMMkacdfefggnkxcckqw,Face: 12
iLLLQMccddegfghhtgfdbfgik,hLLMMkacdfefggnkxcckqw,Face: 10
gLLAQacdeeffjkexnpr,hLLPMkacefefggnkxkccqw,Edge: 12
iLLMMMcbceefgghhdfapavshk,hLLPMkacefefggnkxkccqw,Face: 12
iLLMMMcbceefgghhdfapavshk,hLLPMkacefefggnkxkccqw,Face: 10
hLLLQkbdfggfgfevhpikkc,iLLLAQccddfgghhhukftkgtpd,Edge: 14
hLLLQkbdfgefggevhhekgw,iLLLAQccddfgghhhukftkgtpd,Edge: 11
jLLALPQbcedghhiiiajhfstqduo,iLLLAQccddfgghhhukftkgtpd,Face: 15
jLvLAQQcegfhihgiiquauvnfnkf,iLLLAQccddfgghhhukftkgtpd,Face: 13
jLLLMPQcddfgiihihukftkqadlk,iLLLAQccddfgghhhukftkgtpd,Face: 8
jLLLAMQccfefghiiitnaeenpmjv,iLLLAQccddfgghhhukftkgtpd,Face: 5
jLLLMPQbdfffhhiiieviikvglph,iLLLAQccddfgghhhukftkgtpd,Face: 4
hLLAMkccdefgggakvhqhei,iLLALQcccdefghhhakvhcwlhl,Edge: 11
jLLLMPQbedefghiiiaafdbsvaad,iLLALQcccdefghhhakvhcwlhl,Face: 14
jLLALAQccdefhghiiakvhcxchkw,iLLALQcccdefghhhakvhcwlhl,Face: 7
jLvLAQQcegfhihgiiquauvnfnkf,ivLAAQcecfgfghhhkkpemaanw,Face: 14
jvLLAQQddegfihihiorfeaobvfo,ivLAAQcecfgfghhhkkpemaanw,Face: 10
jvLLAQQdeghgfihiioklqppofko,ivLAAQcecfgfghhhkkpemaanw,Face: 7
