target,source,label
fLLQcaddeeenpuexj,eLAkaccddnnbxn,Face: 7
fLAMcaccdeensjxxn,eLAkaccddnnbxn,Face: 5
fLLQcaddeeenpuhdw,eLAkaccddnnbxn,Face: 4
fLLQcacdedenbaajj,eLAkaccddnnbxn,Face: 3
gLLAQbddeeffxwnxxgn,fLLQcaddeeenpuexj,Face: 10
gLLMQbdefefftvqiemf,fLLQcaddeeenpuexj,Face: 9
gLLAQaeddfffniahgjg,fLLQcaddeeenpuexj,Face: 8
gLLPQccdeffflnjptcf,fLLQcaddeeenpuexj,Face: 5
gLLAQcdeefeflkhexpj,fLLQcaddeeenpuexj,Face: 1
gLLAQbceeeffebdqqxn,fLAMcaccdeensjxxn,Face: 9
gLLMQbdefefftvqiemf,fLLQcaddeeenpuhdw,Face: 9
gLLPQccdfefflnbdlcf,fLLQcaddeeenpuhdw,Face: 8
gLLAQbdceeffdwrxdfw,fLLQcaddeeenpuhdw,Face: 7
gLLAQaeddfffniahgkg,fLLQcaddeeenpuhdw,Face: 5
gLLAQaddeeffjiapcok,fLLQcacdedenbaajj,Face: 9
gLLAQaddeeffniapcok,fLLQcacdedenbaajj,Face: 7
hLLAPkbdedgfggtvugrofo,gLLAQbddeeffxwnxxgn,Face: 10
hLLLQkacefgfggjkbbrbsr,gLLAQbddeeffxwnxxgn,Face: 7
hLLAAkcddeefggtgwamvhr,gLLAQbddeeffxwnxxgn,Face: 5
hLLPAkcdeffeggqrddqqhw,gLLAQbddeeffxwnxxgn,Face: 4
fLLQcaddeeenpuhdw,gLLMQbdefefftvqiemf,Edge: 12
hLLPPkcdfefgggurqulsww,gLLMQbdefefftvqiemf,Face: 9
hLLzQkcdegefggtkaxlfbc,gLLMQbdefefftvqiemf,Face: 7
hLLLQkbddggffglvwmwvnj,gLLMQbdefefftvqiemf,Face: 6
hLLAPkccedfgggqfmfkcoc,gLLAQaeddfffniahgjg,Face: 10
hLLLQkbdfgfeggxvhhmsvg,gLLAQaeddfffniahgjg,Face: 7
hLLAMkaddeffggnhaxvkqj,gLLAQaeddfffniahgjg,Face: 6
hLLMAkbdeffeggxvuqqmuj,gLLAQaeddfffniahgjg,Face: 5
hLLLQkaegfegfgnalgkojf,gLLAQaeddfffniahgjg,Face: 4
hLLAPkbdedgfggtvugrofo,gLLPQccdeffflnjptcf,Face: 12
hLLAPkbdedgfggtwaojvok,gLLPQccdeffflnjptcf,Face: 11
hLLAPkccedfgggqfmfkcoc,gLLPQccdeffflnjptcf,Face: 10
hLLMMkbceefgggtsxqpfjn,gLLPQccdeffflnjptcf,Face: 6
hLLMPkbdedgfggajpfvvnw,gLLPQccdeffflnjptcf,Face: 4
hLvAQkafegefggjppocjjg,gLLAQcdeefeflkhexpj,Face: 12
hLLLQkbddggffglvwmwvnj,gLLAQcdeefeflkhexpj,Face: 11
hLLLQkbdfgfeggxvhhmsvg,gLLAQcdeefeflkhexpj,Face: 10
hLLAAkcddeefggtgwamvhr,gLLAQbceeeffebdqqxn,Face: 8
hLLAMkbdedfgfgdwqslhkr,gLLAQbceeeffebdqqxn,Face: 6
hLLPAkccdeffggpvnedwxk,gLLPQccdfefflnbdlcf,Face: 12
hLLAPkbdedgfggtwawjvok,gLLPQccdfefflnbdlcf,Face: 10
hLLAPkccedfgggqfifkcoc,gLLPQccdfefflnbdlcf,Face: 9
hLLMMkbceefgggtsxqpfjn,gLLPQccdfefflnbdlcf,Face: 8
hLLMPkbdedgfggajpfsvnw,gLLPQccdfefflnbdlcf,Face: 3
hLLLQkbcegfffgdfqahgkr,gLLAQbdceeffdwrxdfw,Face: 11
hLLPAkccdeffggpvnedwxk,gLLAQbdceeffdwrxdfw,Face: 10
hLLAPkbcedfgfgtsxfjonr,gLLAQbdceeffdwrxdfw,Face: 8
hLLAPkccedfgggqfifkcoc,gLLAQaeddfffniahgkg,Face: 10
hLLLQkbdeeffggtviipjor,gLLAQaeddfffniahgkg,Face: 8
hLLLQkaegfegfgnalgkcjf,gLLAQaeddfffniahgkg,Face: 1
fLLQcadedeejillpv,gLLAQaddeeffjiapcok,Edge: 11
hLLLQkadffegggjimgcwwo,gLLAQaddeeffjiapcok,Face: 10
hLLAMkaddeffggnhaxvkqj,gLLAQaddeeffjiapcok,Face: 8
hLMLPkacdegffgngabhbjn,gLLAQaddeeffjiapcok,Face: 2
fLLQcadedeejillpv,gLLAQaddeeffniapcok,Edge: 10
hLLLQkadffegggjimgcwwo,gLLAQaddeeffniapcok,Face: 10
hLLLQkbdeeffggtviipjor,gLLAQaddeeffniapcok,Face: 6
hLMLPkacdegffgngabhbjn,gLLAQaddeeffniapcok,Face: 4
hLLLQkcddegffghsgqwfnw,gLLAQaddeeffniapcok,Face: 2
gLLPQccdeffflnjptcf,hLLAPkbdedgfggtvugrofo,Edge: 10
iLLLPQccddgfhghhlgfsvwkwn,hLLAPkbdedgfggtvugrofo,Face: 12
iLLLQPcbddfgfhhhajfpssllm,hLLAPkbdedgfggtvugrofo,Face: 4
iLLLPQccddgfhghhlgfsvwkwn,hLLLQkacefgfggjkbbrbsr,Face: 12
iLvAPQccdcfghhghqvjsjrsjj,hLLLQkacefgfggjkbbrbsr,Face: 10
iLvLQQcaegfhhfghnxgkcnbjw,hLLLQkacefgfggjkbbrbsr,Face: 4
gLLAQbceeeffebdqqxn,hLLAAkcddeefggtgwamvhr,Edge: 11
iLvAPQccdcfghhghqvjsjrsjj,hLLAAkcddeefggtgwamvhr,Face: 9
iLvLQQcadgffghhhjewfrcvkf,hLLPAkcdeffeggqrddqqhw,Face: 6
ivLAMQcecfeghhghkjhktunvv,hLLPPkcdfefgggurqulsww,Face: 12
iLLLAQcbdefgghhhhgpmmnupi,hLLPPkcdfefgggurqulsww,Face: 11
iLvAAQcbeffgghhhededasjjc,hLLPPkcdfefgggurqulsww,Face: 10
iLLLQPccdefgfhhhlruqlbahe,hLLPPkcdfefgggurqulsww,Face: 4
iLLPPPccdefegghhtkaelssdn,hLLzQkcdegefggtkaxlfbc,Face: 13
ivLAMQcecfeghhghkjhktunvv,hLLzQkcdegefggtkaxlfbc,Face: 11
iLvAAQcbeffgghhhedeeasjjc,hLLzQkcdegefggtkaxlfbc,Face: 4
gLLAQcdeefeflkhexpj,hLLLQkbddggffglvwmwvnj,Edge: 10
iLLLAQcbdefgghhhhgpmmnupi,hLLLQkbddggffglvwmwvnj,Face: 11
gLLPQccdeffflnjptcf,hLLAPkccedfgggqfmfkcoc,Edge: 10
gLLAQbdeefffdwalatr,hLLAPkccedfgggqfmfkcoc,Edge: 9
iLLMwQcbdedfghhhlrafhaagb,hLLAPkccedfgggqfmfkcoc,Face: 14
iLLLMQcbcfehggghebiujbcvs,hLLAPkccedfgggqfmfkcoc,Face: 13
iLLLMQcbdgghhfhgxvqqjgoro,hLLAPkccedfgggqfmfkcoc,Face: 12
iLLMwQcccdefhghhajvidmljw,hLLAPkccedfgggqfmfkcoc,Face: 10
iLLALQccddegghhhtrsassmml,hLLAPkccedfgggqfmfkcoc,Face: 8
iLLAzQccddeghghhlcvacisie,hLLAPkccedfgggqfmfkcoc,Face: 4
gLLAQcdeefeflkhexpj,hLLLQkbdfgfeggxvhhmsvg,Edge: 11
iLLMzQcbddefhhghxvrqwddnq,hLLLQkbdfgfeggxvhhmsvg,Face: 11
iLvAMQcadefghghhnaxkotbta,hLLLQkbdfgfeggxvhhmsvg,Face: 9
gLLAQaddeeffjiapcok,hLLAMkaddeffggnhaxvkqj,Edge: 11
iLLLMQcbcfehggghebiujbcvs,hLLAMkaddeffggnhaxvkqj,Face: 12
iLLLMQcbdgghhfhgxvqqjgoro,hLLMAkbdeffeggxvuqqmuj,Face: 12
iLLAPMcbeedgfghhhtakqvfpj,hLLMAkbdeffeggxvuqqmuj,Face: 10
iLvLQQcaegfhhfghnxgkcnbjw,hLLMAkbdeffeggxvuqqmuj,Face: 8
gLLAQaeddeffjaaljsj,hLLLQkaegfegfgnalgkojf,Edge: 11
iLLMwQcccdefhghhajvidmljw,hLLLQkaegfegfgnalgkojf,Face: 12
iLLMzQcbddefhhghxvrqwddnq,hLLLQkaegfegfgnalgkojf,Face: 9
