id,oriented,tetrahedra
eLAkaccddnnbxn,1,4
fLLQcaddeeenpuexj,1,5
fLAMcaccdeensjxxn,1,5
fLLQcaddeeenpuhdw,1,5
fLLQcacdedenbaajj,1,5
gLLAQbddeeffxwnxxgn,1,6
gLLMQbdefefftvqiemf,1,6
gLLAQaeddfffniahgjg,0,6
gLLPQccdeffflnjptcf,0,6
gLLAQcdeefeflkhexpj,1,6
gLLAQbceeeffebdqqxn,1,6
gLLPQccdfefflnbdlcf,0,6
gLLAQbdceeffdwrxdfw,1,6
gLLAQaeddfffniahgkg,0,6
gLLAQaddeeffjiapcok,0,6
gLLAQaddeeffniapcok,0,6
hLLAPkbdedgfggtvugrofo,0,7
hLLLQkacefgfggjkbbrbsr,1,7
hLLAAkcddeefggtgwamvhr,1,7
hLLPAkcdeffeggqrddqqhw,1,7
hLLPPkcdfefgggurqulsww,1,7
hLLzQkcdegefggtkaxlfbc,1,7
hLLLQkbddggffglvwmwvnj,1,7
hLLAPkccedfgggqfmfkcoc,0,7
hLLLQkbdfgfeggxvhhmsvg,0,7
hLLAMkaddeffggnhaxvkqj,0,7
hLLMAkbdeffeggxvuqqmuj,0,7
hLLLQkaegfegfgnalgkojf,0,7
hLLAPkbdedgfggtwaojvok,0,7
hLLMMkbceefgggtsxqpfjn,0,7
hLLMPkbdedgfggajpfvvnw,0,7
hLvAQkafegefggjppocjjg,1,7
hLLAMkbdedfgfgdwqslhkr,1,7
hLLPAkccdeffggpvnedwxk,0,7
hLLAPkbdedgfggtwawjvok,0,7
hLLAPkccedfgggqfifkcoc,0,7
hLLMPkbdedgfggajpfsvnw,0,7
hLLLQkbcegfffgdfqahgkr,1,7
hLLAPkbcedfgfgtsxfjonr,1,7
hLLLQkbdeeffggtviipjor,0,7
hLLLQkaegfegfgnalgkcjf,0,7
fLLQcadedeejillpv,1,5
hLLLQkadffegggjimgcwwo,0,7
hLMLPkacdegffgngabhbjn,0,7
hLLLQkcddegffghsgqwfnw,0,7
iLLLPQccddgfhghhlgfsvwkwn,0,8
iLLLQPcbddfgfhhhajfpssllm,0,8
iLvAPQccdcfghhghqvjsjrsjj,1,8
iLvLQQcaegfhhfghnxgkcnbjw,0,8
iLvLQQcadgffghhhjewfrcvkf,1,8
ivLAMQcecfeghhghkjhktunvv,1,8
iLLLAQcbdefgghhhhgpmmnupi,1,8
iLvAAQcbeffgghhhededasjjc,0,8
iLLLQPccdefgfhhhlruqlbahe,1,8
iLLPPPccdefegghhtkaelssdn,1,8
iLvAAQcbeffgghhhedeeasjjc,0,8
gLLAQbdeefffdwalatr,0,6
iLLMwQcbdedfghhhlrafhaagb,0,8
iLLLMQcbcfehggghebiujbcvs,0,8
iLLLMQcbdgghhfhgxvqqjgoro,0,8
iLLMwQcccdefhghhajvidmljw,0,8
iLLALQccddegghhhtrsassmml,0,8
iLLAzQccddeghghhlcvacisie,0,8
iLLMzQcbddefhhghxvrqwddnq,0,8
iLvAMQcadefghghhnaxkotbta,0,8
iLLAPMcbeedgfghhhtakqvfpj,0,8
gLLAQaeddeffjaaljsj,0,6
iLLvQQcaeghfhfghnakoojjkn,0,8
iLLMLQcaedfgghhhnaalhhtqb,0,8
iLLAPMcbdedfgghhtwaoswwer,0,8
iLLALQcbcedghghhdnqrcdoip,0,8
gLLPQccdfeffakkaxon,0,6
iLvAAQcbeffgghhhapimabggr,0,8
iLLALQcbedefhghhaanuvnwrj,0,8
iLLAPMcbcedfgfhhtsxfjojhw,1,8
iLLMPMcbdedfgghhajpfjjwmj,0,8
iLLAPMcbdedgfghhlrascvnxr,0,8
iLLMPMcbdedfgghhtwarowrew,0,8
iLLALQcbcedghhghdnawcdeje,0,8
gLLAQbdeefffdwalalr,0,6
iLLAzQccddeghghhtcvacisie,0,8
iLLALQccddegghhhlrsassmml,0,8
iLLMwQcccdefghhhajvhdeikj,0,8
iLLALQcbedefhghhaanuvnoko,0,8
iLLLAQcacfeehghhjkgcgmvdp,1,8
iLLLAQcacfegghhhjkgcbwmip,1,8
iLvQLQcadfeghghhnaexaxdln,0,8
iLLPwQcccdfehgghqffaaahjr,1,8
gLLAQbdedffflvdrxwk,1,6
iLLMLQccddeghhghafvxvphcq,0,8
iLLMLQcaedfgghhhnaalhhtdb,0,8
gLvQQadefeffjahhrrg,0,6
gLLAQbcedeffljhftjj,1,6
gLLAQbdcefffhgwqdsc,1,6
iLLALQcbecdfhhhgaanfnellr,0,8
iLLLMQcbcfghfgghakhakvkvs,0,8
iLLALQcbecdfhhhgaanfnellk,0,8
iLLAzQccddefhhhgafvprdumj,0,8
iLLMMPcacdfegghhjoaojxajr,0,8
jLLLMPQbcgefihhiiebpukqggpp,0,9
jLLLwQQbddfgihihiajfprpdqes,0,9
jLLAPLQcddefghiiihwwaojdxof,0,9
jLLLAMQbedefhhiiiaafdexumdr,0,9
jLLLQPPcdefgghgiiusiaustrhw,1,9
jLLvAQQacegihgihijkckdasaps,0,9
jLLvQMQaefhgghiiijagfvkrhpx,0,9
