target,source,label
gLLPQcdcfeffqsndugf,fLLQccceddelnxcwj,Face: 10
gLLAQccedfefqfhfxsj,fLLQccceddelnxcwj,Face: 9
gLLPQcdcfeefqrnqasj,fLLQccceddelnxcwj,Face: 8
gLLAQbdceeffdwwqlon,fLLQccceddelnxcwj,Face: 7
hLLMAkccdfefggubsedwdk,gLLPQcdcfeffqsndugf,Face: 12
hLLMAkbdedffggtwarxodr,gLLPQcdcfeffqsndugf,Face: 9
hLLAAkcedeefgghtvaeqhs,gLLPQcdcfeffqsndugf,Face: 7
hLLAAkccdeefggakvhuchj,gLLPQcdcfeffqsndugf,Face: 3
fLAMcaccdeejnjaqw,gLLAQccedfefqfhfxsj,Edge: 9
hLLMAkacedffggnktnfntn,gLLPQcdcfeefqrnqasj,Face: 12
hLLAAkaeddefggniadcjxj,gLLPQcdcfeefqrnqasj,Face: 7
hLLAPkbcedfgfgtsxjssrw,gLLAQbdceeffdwwqlon,Face: 10
hLLMAkccdfefggubsedwdk,gLLAQbdceeffdwwqlon,Face: 9
hLLLQkbceggfgftsxalrwk,gLLAQbdceeffdwwqlon,Face: 7
hLLLQkadfeggfgnmdssccc,gLLAQbdceeffdwwqlon,Face: 4
gLLAQbdceeffdwwqlon,hLLMAkccdfefggubsedwdk,Edge: 11
iLLLAQccddfghhghtgfawtmvq,hLLMAkccdfefggubsedwdk,Face: 13
iLLMPMcbdedfgghhaspfjswdk,hLLMAkccdfefggubsedwdk,Face: 10
iLvLQQcaefghhfghjxkgcgbwb,hLLMAkccdfefggubsedwdk,Face: 5
iLLAPPcbcedfgghhdnqowcclj,hLLMAkbdedffggtwarxodr,Face: 12
iLvAMQcaefeghghhniqbwxwxx,hLLMAkbdedffggtwarxodr,Face: 7
iLLLQPcceefegghhpqlaelrln,hLLAAkcedeefgghtvaeqhs,Face: 14
iLLAPPcbcedfgghhdnqowcclj,hLLAAkcedeefgghtvaeqhs,Face: 11
iLLLAQcbcfgehgghlshapxfvj,hLLAAkcedeefgghtvaeqhs,Face: 8
iLLAMMcbdeeffghhevdpankxj,hLLAAkcedeefgghtvaeqhs,Face: 7
iLLMPMcbdedfgghhaspfjswdk,hLLAAkccdeefggakvhuchj,Face: 14
iLLMPMcbdedfgghhaspfjswdk,hLLAAkccdeefggakvhuchj,Face: 11
iLLPMMcccdfefghhakkaxfxxr,hLLAAkccdeefggakvhuchj,Face: 9
iLLAMMcbeedffghhaapwabnxr,hLLAAkccdeefggakvhuchj,Face: 8
gLLAQbceeefflcadihj,fLAMcaccdeejnjaqw,Face: 6
gLLAQaedefefnipegrn,fLAMcaccdeejnjaqw,Face: 4
gLLAQacdefefjbqahjk,fLAMcaccdeejnjaqw,Face: 1
iLLLMQcbcgdgfhghdfhjfkxjr,hLLMAkacedffggnktnfntn,Face: 13
iLLALQcacedfhhghnkamisnwc,hLLMAkacedffggnktnfntn,Face: 12
iLLAzQcbdedfhgghlvagranrj,hLLMAkacedffggnktnfntn,Face: 9
iLLLAQccddegfghhlgfmwrcdk,hLLMAkacedffggnktnfntn,Face: 5
iLLMPMcaddefgghhnuaxnxdwj,hLLAAkaeddefggniadcjxj,Face: 14
iLLALQcacedfhhghnkamisnwc,hLLAAkaeddefggniadcjxj,Face: 11
iLLPMMcaedefgfhhjtdxrirqw,hLLAAkaeddefggniadcjxj,Face: 7
iLLLAQcbcfgehgghlshapxfvj,hLLAAkaeddefggniadcjxj,Face: 6
iLLLMQcbcefhhhggdfqebcbvj,hLLAPkbcedfgfgtsxjssrw,Face: 13
iLLLMQcbcfdghhghdftjfeacu,hLLAPkbcedfgfgtsxjssrw,Face: 12
iLLLAQcacfeeghhhjvbcondxd,hLLAPkbcedfgfgtsxjssrw,Face: 10
iLLLAQcbcfdfghhhdftjgrile,hLLAPkbcedfgfgtsxjssrw,Face: 9
