target,source,label
gLLAQcceeeffpviadxj,fLAMcaccdeejnjqqn,Face: 9
gLLAQccedfefqfxjhjn,fLAMcaccdeejnjqqn,Face: 7
gLLAQacdefefjbxahjj,fLAMcaccdeejnjqqn,Face: 5
hLLLQkbefegggftpqphxcn,gLLAQcceeeffpviadxj,Face: 10
hLLAMkbdedfgfgevdslhjs,gLLAQcceeeffpviadxj,Face: 9
hLLMAkbdedefggaspfxsqw,gLLAQcceeeffpviadxj,Face: 3
hLLPAkcdcfefggqsnadrps,gLLAQccedfefqfxjhjn,Face: 9
hLLAAkaddeefggnmapcfhn,gLLAQacdefefjbxahjj,Face: 11
hLLMAkcbedffggpnakmodr,gLLAQacdefefjbxahjj,Face: 9
iLLAMPcbeedfgghhliagdgkxn,hLLLQkbefegggftpqphxcn,Face: 14
iLLAAMcbddeffghhlvkhqreqw,hLLLQkbefegggftpqphxcn,Face: 9
gLLAQbeecfefhhanqaw,hLLAMkbdedfgfgevdslhjs,Edge: 9
iLLAPMcbcedfgfhhasxfjjnqw,hLLAMkbdedfgfgevdslhjs,Face: 9
iLLPAMcccdfefghhaknaaohqn,hLLMAkbdedefggaspfxsqw,Face: 12
iLLLQMcbefgfefhhaaeueisqw,hLLMAkbdedefggaspfxsqw,Face: 11
iLLPLQcacdeghgghnkmblqxmn,hLLAAkaddeefggnmapcfhn,Face: 14
iLLLAQccddfgfhghlwfqgfujr,hLLAAkaddeefggnmapcfhn,Face: 11
iLLAAMcbddeffghhlvkhqreqw,hLLAAkaddeefggnmapcfhn,Face: 6
iLLLAQcbcffeghghdfmqdsqrw,hLLMAkcbedffggpnakmodr,Face: 13
iLLLAQccddfgfhghlwfqgfujr,hLLMAkcbedffggpnakmodr,Face: 12
iLLLAQccddfehhghtgfaraura,hLLMAkcbedffggpnakmodr,Face: 10
jLLALMQbeedhgiihiliaggrpdod,iLLAMPcbeedfgghhliagdgkxn,Face: 15
jLLMzMQccdeghghiiubsxftsdow,iLLAMPcbeedfgghhliagdgkxn,Face: 13
hLLAAkaddeefggnmapcfhn,iLLAAMcbddeffghhlvkhqreqw,Edge: 12
jLLMzMQccdeghghiiubsxftsdow,iLLAAMcbddeffghhlvkhqreqw,Face: 16
jLLALQPbddefghhiilvkhckxufk,iLLAAMcbddeffghhlvkhqreqw,Face: 13
jLLMLQPccdfgfghiiakvibwgtqn,iLLAAMcbddeffghhlvkhqreqw,Face: 4
hLLAAkaddeefggnpupcoqw,gLLAQbeecfefhhanqaw,Face: 3
jLLLMQPbedefhggiiaafmwkokxr,iLLAPMcbcedfgfhhasxfjjnqw,Face: 4
jLLPLPQccdfghhhiiaknacemmpw,iLLPAMcccdfefghhaknaaohqn,Face: 16
jLLMLQPccdfgfghiiakvibwgtqn,iLLPAMcccdfefghhaknaaohqn,Face: 6
jLLMLQPccdfgfghiiakvibwgtqn,iLLPAMcccdfefghhaknaaohqn,Face: 5
jLLLMQPbedefhggiiaafmwkokxr,iLLLQMcbefgfefhhaaeueisqw,Face: 7
jLLLAQPccfgehhhiiqfahqauuqn,iLLLQMcbefgfefhhaaeueisqw,Face: 5
jLLLMQPbedfgghgiiaafujjooqn,iLLLQMcbefgfefhhaaeueisqw,Face: 2
jLLLwQQcddfhhghiitgfaddvqij,iLLPLQcacdeghgghnkmblqxmn,Face: 15
jLLLMAQbedgfhfhiidlfigcnfpk,iLLPLQcacdeghgghnkmblqxmn,Face: 11
jLLMzMQccdeghghiiubsxftsdow,iLLPLQcacdeghgghnkmblqxmn,Face: 9
jLLLLQQcbgfghghiipntgrcorkk,iLLPLQcacdeghgghnkmblqxmn,Face: 7
hLLMAkcbedffggpnakmodr,iLLLAQccddfgfhghlwfqgfujr,Edge: 11
