id,oriented,tetrahedra
fLAMcaccdeejnjqqn,1,5
gLLAQcceeeffpviadxj,0,6
gLLAQccedfefqfxjhjn,1,6
gLLAQacdefefjbxahjj,1,6
hLLLQkbefegggftpqphxcn,0,7
hLLAMkbdedfgfgevdslhjs,0,7
hLLMAkbdedefggaspfxsqw,0,7
hLLPAkcdcfefggqsnadrps,1,7
hLLAAkaddeefggnmapcfhn,1,7
hLLMAkcbedffggpnakmodr,1,7
iLLAMPcbeedfgghhliagdgkxn,0,8
iLLAAMcbddeffghhlvkhqreqw,0,8
gLLAQbeecfefhhanqaw,1,6
iLLAPMcbcedfgfhhasxfjjnqw,0,8
iLLPAMcccdfefghhaknaaohqn,0,8
iLLLQMcbefgfefhhaaeueisqw,0,8
iLLPLQcacdeghgghnkmblqxmn,1,8
iLLLAQccddfgfhghlwfqgfujr,1,8
iLLLAQcbcffeghghdfmqdsqrw,1,8
iLLLAQccddfehhghtgfaraura,1,8
jLLALMQbeedhgiihiliaggrpdod,0,9
jLLMzMQccdeghghiiubsxftsdow,0,9
jLLALQPbddefghhiilvkhckxufk,0,9
jLLMLQPccdfgfghiiakvibwgtqn,0,9
hLLAAkaddeefggnpupcoqw,0,7
jLLLMQPbedefhggiiaafmwkokxr,0,9
jLLPLPQccdfghhhiiaknacemmpw,0,9
jLLLAQPccfgehhhiiqfahqauuqn,0,9
jLLLMQPbedfgghgiiaafujjooqn,0,9
jLLLwQQcddfhhghiitgfaddvqij,1,9
jLLLMAQbedgfhfhiidlfigcnfpk,1,9
jLLLLQQcbgfghghiipntgrcorkk,1,9
jLLLAPQcddfegihiitgfarvmpfv,1,9
jLLLAMQbedefgihhilufupkxirk,1,9
jLLLAMQbcfgghhihiebpatudqxr,1,9
jLLMLMQbdedfhihhilvawcadqdn,1,9
jLLLAPQcddefiigihhsgpbthnsw,1,9
kLLLMLQkcddfhgjijijtgfatviusvf,0,10
kLLMvAQkccdffhhiijjakviwtdabnk,0,10
kLLLLPQkccfijjgijhipvasmmjsxnn,0,10
kLLAzwQkcdedghhjjijpwioflqpbss,0,10
kLLALwQkbddefgiijjjlvkhcktrnbk,0,10
kLLALPMkcdedfhhiijjpwiowethsrr,0,10
kLLMLPMkbdedfhhiijjaspfvddikjw,0,10
kLLLMPAkbedegghhijjaafdsogfpqn,0,10
gLLAQadedeffnpllook,0,6
iLLAPMcbcedfgfhhajhfsswqn,0,8
kLLLLAQkbedhhijgiijaafssfqkfow,0,10
kLLLwPQkcddfjjhjiiitgfaauaaarr,0,10
kLLLwQPkccfghiihijjakaibiigaxj,0,10
kLLwPLQkbeegehihijjaaphininhww,0,10
kLLLAPPkbefgfihjiijaaeueabqiiw,0,10
kLLvQAAkbeghfffhijjaaaaassbxhj,0,10
kLLLLAQkbedfihjjhjitmfgjgmpotk,1,10
kLLLPzQkcedghfjiijjluflfnmpdhf,1,10
kLLPLPMkbecefhihijjlunugjlcmjr,1,10
kLLLwPQkbedejhhijjilufulocipqr,1,10
kLLLAwQkcddefgijhjjhsgpbbigwsn,1,10
kLLwLMQkcbeighgjjijpnakkkglljd,1,10
iLLAzQcbedegfghhxxrxurwxw,1,8
fLLQcacdedenkxxrr,1,5
hLLLQkadfgefggjidfcnwc,0,7
hLLAPkccdegffgakvhccrr,0,7
jLLLMAQbedefhgihiaafmwkohjs,0,9
jLLALMQbedegfhiiixxrxcrjlea,1,9
jLLLAMQbcfgfhihhidfphhxhetw,1,9
jLLLMAQbedfgghihixxfmvcrmkj,1,9
gLLAQcddefefpfvqmwk,1,6
gLLAQacdefefjsxxhkj,1,6
iLLLMQcbdeefghhhlviigrofn,0,8
iLLLAQcccdeghhghpvklgiivl,0,8
iLLLMQcbedefhgghaafdbnssr,0,8
kLLLLMQkbediijhghijaafjjqfwfon,0,10
kLLALPMkbddefghijjjlvkhcjlqqmd,0,10
kLLLLAQkccfihijjjhipvhkbjhptvj,1,10
kLLLPzQkadehhijjjiinmxddhqaqhb,1,10
kLLLAMMkbcdggfihjjjebkxnwxeqep,1,10
kLLLLQMkcdgghihijijhshgsnvfeow,1,10
kLLPvQMkbecfighijijhhnhhjjhhhr,1,10
kLLALAMkbdedgfhijjjtvdgvrtqhtp,1,10
hLLLQkceffegfglteammfj,1,7
hLLAPkbdceffgghgrxgoww,1,7
hLLMMkbcdfegfgdfjpdxkj,1,7
hLLAAkadedefggjulpvoxr,1,7
jLLLAMQbdeefhiihilviipattic,0,9
jLLLLQQcddifhggiitgfafvcnpp,0,9
jLLLLQQbedffghihiaafssooonk,0,9
iLLLMQcaceeghghhnkvcjxwpm,1,8
iLLMPPcacefegghhnktcwxufn,1,8
iLLLAQcbcffghgghdfuxuxsoj,1,8
kLLLMMPkbedeghgjijjaafdsngemov,0,10
kLLLAPMkccdegighjjjpvklgavlaii,0,10
kLLLvQQkbedjfijjihiaafarnllfjj,0,10
jLLvPQQacegfihhiinkwjktiidr,1,9
jLLMLAQbcdefhghiiebbpbqvibn,1,9
jLLAMMPbdedfgghiievisleuchk,1,9
kLLLLAQkacggifijjjinkcjpkxiwjb,1,10
kLLAwzQkbdedfhhiijjevisldwbrtj,1,10
iLLAPPccdecgfhhhqsungoqqa,1,8
jLLPwAQacdefghiiinkmbvxpqqa,1,9
jLLAwQPbdedfgghiievdsadisqw,1,9
kLLAwMMkbdedfhhiijjevdsapcoclw,1,10
