id,oriented,tetrahedra
eLAkaccddjnbxn,1,4
fLLQcaddeeenpumxj,1,5
fLAMcaccdeejsjxxn,1,5
fLLQcaddeeejpuhdw,1,5
fLLQcacdedejbaajk,1,5
gLLAQbddeeffxwrxxgn,0,6
gLLMQbdefefftvqmemf,1,6
gLLPQccdeffflnjpacf,1,6
gLLMQadeffefnpaxrnc,1,6
gLLAQbceeeffdfaiixn,0,6
gLLPQccdfefflnbdlbf,1,6
gLLAQbdceeffdwnxdfw,1,6
gLLAQaeddfffjiahgkg,1,6
gLLAQaddeeffniapcoj,1,6
hLLAPkbdedfgggtvpgbkfo,0,7
hLLAAkcddeefgglgwamvhr,0,7
hLLPPkcdefffggakedtkjj,0,7
hLLPPkcdfefgggprealsww,1,7
hLLzQkcdegefggtoaxlfbc,1,7
hLLLQkbdeegfggtvpedrof,1,7
hLLAPkbdedgfggtsacnvcr,1,7
hLLMMkbceefgggtsxqpfjb,1,7
hLLAPkbddefgggdwguvnwg,1,7
hLLLQkcddggffghcgugrso,1,7
hLLAPkbcedfgggekdjgnnj,1,7
hLLAMkbdedfgfgevuslqkj,0,7
hLLMAkbdedefggasqfxfhw,0,7
hLLPAkccdeffggpvcdinhw,1,7
hLLAPkbdedgfgglwawjvok,1,7
hLLAPkccedfgggpfpobbgb,1,7
hLLLQkbcfegfggtsudukwg,1,7
hLLLQkbcegfffgebuahkjr,1,7
hLLAPkbcedfgfgtsxfjonk,1,7
hLLLQkbdeeffggtviipjok,1,7
fLLQcadedeejmllpv,1,5
hLLLQkcddegffghsgqwfrw,1,7
iLLLMQcbcfghghghdfpawowjv,0,8
iLLLMQcbdeeghhghxjqqwobnb,0,8
iLLALQcbdedgghhhhgakvstep,0,8
gLLMQbddeeffasbiijs,0,6
iLLLAQcbcfgefhhhdfpauohhh,0,8
iLLLAQcacegghhhgjkkckaaav,0,8
ivLAMQcecfeghhghrjhotenvv,1,8
iLLLMQcbdgffghhhhgitgrbww,1,8
iLvAAQcbeffgghhhededasrjc,1,8
iLLLQPccdefgfhhhtruqlbahe,1,8
iLLPPPccdefegghhtoaelssdn,1,8
iLLvQQccdehghghgloitrnjnb,1,8
iLvAAQcbeffgghhhedeeasjnc,1,8
iLvLQQcbefhgghhgtpaadrcgg,1,8
iLvLQQcbefhghghgxaaaewrgg,0,8
iLLAPMcbdedfgghhtsacssshr,1,8
iLLALQcbcedghghheourfeoqx,1,8
iLLLMQcbdeegghhhdwhhgoows,1,8
iLLALQcceddfghhhhivkjvmad,1,8
iLLALQcbdedghhghhgaobeawa,1,8
iLLLPQcbddhgfhghdwfgnnbwb,1,8
iLLLMQccddeghghhlokikiktq,1,8
iLLLMQcbceghfhghtsqafskkk,1,8
iLLLPQcbcfeghghhereerbnvf,1,8
gLLAQbeceeffxxsxqxn,1,6
