target,source,label
gLLPQccdeffflbnepok,fLLQcaddeeenuapxn,Face: 9
gLLAQadedeffnuldvfj,fLLQcaddeeenuapxn,Face: 4
gLLAQccedeffqvmfqjw,fLLQcaddeeenuapxn,Face: 3
gLLMQbdedeffxkeftnr,fLLQcaddeeenuapxn,Face: 2
gLvQQaefdeffnhqmbrk,fLLQcaddeeenuapxn,Face: 1
fLLQcbcedeedvqjmd,gLLPQccdeffflbnepok,Edge: 8
hLLLQkbcfgegfgebpuhffc,gLLPQccdeffflbnepok,Face: 8
hLLAPkbdedfgggevxscfgs,gLLPQccdeffflbnepok,Face: 6
fLLQcacdedejbaqnw,gLLAQadedeffnuldvfj,Edge: 9
hLLLQkbcdgfgfgdfnagoog,gLLAQadedeffnuldvfj,Face: 11
hLLLQkacegffggjksccjcw,gLLAQccedeffqvmfqjw,Face: 6
hLLLQkbdeeffggerqqpjjk,gLLAQccedeffqvmfqjw,Face: 5
fLLQcbcedeeloaoet,gLLMQbdedeffxkeftnr,Edge: 10
hLLAAkcddeffgghrvahwxk,gLLMQbdedeffxkeftnr,Face: 5
hLLPAkccdfefggtnkaanhw,gLLMQbdedeffxkeftnr,Face: 4
hLLLQkbcfgegfgebpuhffc,gLvQQaefdeffnhqmbrk,Face: 11
hLvAQkadefggfgjaxkjjbj,gLvQQaefdeffnhqmbrk,Face: 7
hLvAQkaeffegggjxqrcjjj,gLvQQaefdeffnhqmbrk,Face: 5
hLvAQkadffegggjaucwjrv,gLvQQaefdeffnhqmbrk,Face: 4
hLvAQkbeffgefgaeldhtfj,gLvQQaefdeffnhqmbrk,Face: 2
gLLAQbcedfffdwljhck,fLLQcbcedeedvqjmd,Face: 10
gLLMQbcdeffftsbhusb,fLLQcbcedeedvqjmd,Face: 9
gLLPQcdefefftcdeqqf,fLLQcbcedeedvqjmd,Face: 8
gvLQQcdeffefbncqusd,fLLQcbcedeedvqjmd,Face: 6
gLLAQbdeefffevdphtv,fLLQcbcedeedvqjmd,Face: 1
gLvQQaefdeffnhqmbrk,hLLLQkbcfgegfgebpuhffc,Edge: 9
iLLLMQcbcegfhhgheblungbvk,hLLLQkbcfgegfgebpuhffc,Face: 12
iLvAMQccdegfhhghlramcjwkb,hLLLQkbcfgegfgebpuhffc,Face: 8
ivLLQQccdfggfhhhkgepaihjs,hLLLQkbcfgegfgebpuhffc,Face: 4
iLLLPQcbcfgfhhghdfpxgoovv,hLLLQkbcfgegfgebpuhffc,Face: 2
gLLAQbcedfffdwljhck,hLLAPkbdedfgggevxscfgs,Edge: 10
iLLLPQcbdeehhgghtvitrrsrv,hLLAPkbdedfgggevxscfgs,Face: 7
iLLLMQcbcgffhhghlsmdgccvg,hLLAPkbdedfgggevxscfgs,Face: 3
gLLAQbdceefftvnmtwn,fLLQcacdedejbaqnw,Face: 9
gLLAQbdceefftvnmtwn,hLLLQkbcdgfgfgdfnagoog,Edge: 14
iLLLPQcbdeehhgghtvitrrsrv,hLLLQkbcdgfgfgdfnagoog,Face: 6
iLLLAQcbdfefgghhasdxdkcdk,hLLLQkbcdgfgfgdfnagoog,Face: 4
iLLzQMccdegffghhtgahuvvxn,hLLLQkacegffggjksccjcw,Face: 10
iLvAMQcaefeghghhjeqsjawie,hLLLQkacegffggjksccjcw,Face: 9
iLLLMQcacgehfhghjkjopbmvt,hLLLQkacegffggjksccjcw,Face: 8
iLLLAQcacfgehghhjkgfwqraq,hLLLQkacegffggjksccjcw,Face: 6
iLLMLQcccdfgfghhufvabrctw,hLLLQkbdeeffggerqqpjjk,Face: 6
iLLAPPccddefgghhpcvawondn,hLLLQkbdeeffggerqqpjjk,Face: 4
gvLQQcdeffefbncqusd,fLLQcbcedeeloaoet,Face: 9
gLLMQbdeefffeneaipn,fLLQcbcedeeloaoet,Face: 8
gLLPQccdeffftnketwn,fLLQcbcedeeloaoet,Face: 7
gvLQQcdeffefbncqusd,fLLQcbcedeeloaoet,Face: 6
gLLAQcddefffhsjqxfo,fLLQcbcedeeloaoet,Face: 1
gLLMQbdeefffeneaipn,hLLAAkcddeffgghrvahwxk,Edge: 12
iLLLAQcbcggefhghlspatkqvw,hLLAAkcddeffgghrvahwxk,Face: 6
iLLLQPccdefggfhhqruqiwkmw,hLLAAkcddeffgghrvahwxk,Face: 2
gLLPQccdeffftnketwn,hLLPAkccdfefggtnkaanhw,Edge: 12
iLLMLQcccdfgfghhufvabrctw,hLLPAkccdfefggtnkaanhw,Face: 11
iLLMLQcccdfgfghhufvabrctw,hLLPAkccdfefggtnkaanhw,Face: 7
iLwAPMcacedfgghhjgaxmmnhw,hLLPAkccdfefggtnkaanhw,Face: 2
iLLLMQcbcegfhhgheblungbvk,hLvAQkadefggfgjaxkjjbj,Face: 13
iLLLAQcacfeghhghjcgccuxnx,hLvAQkadefggfgjaxkjjbj,Face: 10
iLLLAQccdffegghhlclmakfqw,hLvAQkadefggfgjaxkjjbj,Face: 9
iLLwMQcaedfhghghnaakhoxju,hLvAQkadefggfgjaxkjjbj,Face: 1
iLLLPQcbcfghgfhhdfpicfgcf,hLvAQkaeffegggjxqrcjjj,Face: 13
iLLLPQcacegghhhgnrwrjadqb,hLvAQkaeffegggjxqrcjjj,Face: 9
iLLLMQcacgehfhghjkjopbmvt,hLvAQkaeffegggjxqrcjjj,Face: 7
iLLvQQccbgehfhghqnaqnjcbk,hLvAQkaeffegggjxqrcjjj,Face: 6
iLLLAQcbcgfehhghdfixdlavh,hLvAQkadffegggjaucwjrv,Face: 13
iLLLAQccdffegghhlclmakfqw,hLvAQkadffegggjaucwjrv,Face: 9
iLLLAQcbcggefhghlspatkqvw,hLvAQkadffegggjaucwjrv,Face: 8
iLLLMQccdffeghhhlclmrwgnf,hLvAQkadffegggjaucwjrv,Face: 6
iLLLPQcbcfgfhhghdfpxgoovv,hLvAQkbeffgefgaeldhtfj,Face: 13
iLLLMQcacfegfhhhjkgcjcaee,hLvAQkbeffgefgaeldhtfj,Face: 7
iLLLPQcbcegffghhajdusjbjs,hLvAQkbeffgefgaeldhtfj,Face: 6
iLLLQMcbedgffghhaaflenwdr,hLvAQkbeffgefgaeldhtfj,Face: 2
hLLAPkbdedfgggevxscfgs,gLLAQbcedfffdwljhck,Face: 8
hLLLQkbddgfgfgljfhjkkn,gLLAQbcedfffdwljhck,Face: 6
hLLLQkcdfefggghstpennw,gLLAQbcedfffdwljhck,Face: 3
hLLLQkbddfgfggdwfpffnk,gLLMQbcdeffftsbhusb,Face: 12
hLLAPkcddegfggpcvarcsg,gLLMQbcdeffftsbhusb,Face: 5
hLLAMkbdedffggdwdgaktj,gLLMQbcdeffftsbhusb,Face: 4
hvLAQkcdegfgfgbrcaimtv,gLLPQcdefefftcdeqqf,Face: 12
hvLAQkcdfeggfgnnacqqpo,gLLPQcdefefftcdeqqf,Face: 7
hLLzQkcdefgfgglfmlabrf,gLLPQcdefefftcdeqqf,Face: 6
hLLzQkcdfeggfguwlhtsfc,gLLPQcdefefftcdeqqf,Face: 5
hLLPMkcdefeggguwuxdffo,gLLPQcdefefftcdeqqf,Face: 4
fLLQcbcedeeloaoet,gvLQQcdeffefbncqusd,Edge: 8
hLvAQkcdefggfguvueqvrv,gvLQQcdeffefbncqusd,Face: 11
hvLAQkcdegfgfgbrcaimtv,gvLQQcdeffefbncqusd,Face: 10
hvLPQkcdefgfggfffqxqxo,gvLQQcdeffefbncqusd,Face: 6
hLLLQkbddgfgfgljfhjkkn,gLLAQbdeefffevdphtv,Face: 12
hLLPAkcefefeggplhhqmfk,gLLAQbdeefffevdphtv,Face: 11
hLLAPkcdeefggglgpumgkc,gLLAQbdeefffevdphtv,Face: 10
hLvAQkadefggfgjaxkjjbj,iLLLMQcbcegfhhgheblungbvk,Edge: 16
hLLzQkcdefgfgglfmlabrf,iLLLMQcbcegfhhgheblungbvk,Edge: 11
jLvAMMQcdfgfgihiitjiavkachh,iLLLMQcbcegfhhgheblungbvk,Face: 14
jvLAAPQdefeghihiibrafevorfb,iLLLMQcbcegfhhgheblungbvk,Face: 9
jLLLLQQbdefhghiiitvpcrogrrc,iLLLMQcbcegfhhgheblungbvk,Face: 1
hLLzQkcdefgfgglfmlabrf,iLvAMQccdegfhhghlramcjwkb,Edge: 12
jLvAMMQcdfgfgihiitjiavkachh,iLvAMQccdegfhhghlramcjwkb,Face: 14
jLvLMQQbdggifihhitfujjwfsof,iLvAMQccdegfhhghlramcjwkb,Face: 12
jvLALQQdefhgihiihowapepsvcb,iLvAMQccdegfhhghlramcjwkb,Face: 7
jLLLLQQbdefhghiiitvpcrogrrc,iLvAMQccdegfhhghlramcjwkb,Face: 1
jvLLMQQdgfhgfhiiiotmeamxwfb,ivLLQQccdfggfhhhkgepaihjs,Face: 14
jvLALQQdefhgihiihowapepsvcb,ivLLQQccdfggfhhhkgepaihjs,Face: 10
jLvALQQcdefihgihilvacfwwfob,ivLLQQccdfggfhhhkgepaihjs,Face: 9
hLLLQkcdffgfggacqalrbn,iLLLPQcbcfgfhhghdfpxgoovv,Edge: 12
hLvAQkbeffgefgaeldhtfj,iLLLPQcbcfgfhhghdfpxgoovv,Edge: 11
jLLLMPQbedggihgiiaafejpncth,iLLLPQcbcfgfhhghdfpxgoovv,Face: 2
hLLAPkacdefgggnkapatcb,iLLLPQcbdeehhgghtvitrrsrv,Edge: 16
hLLLQkbcdgfgfgdfnagoog,iLLLPQcbdeehhgghtvitrrsrv,Edge: 11
hLLLQkcdfefggghstpennw,iLLLMQcbcgffhhghlsmdgccvg,Edge: 12
hLLLQkbdffggfgajddukng,iLLLMQcbcgffhhghlsmdgccvg,Edge: 11
jLLLAPQbdfgehhiiievapexxpqv,iLLLMQcbcgffhhghlsmdgccvg,Face: 2
hLLAPkacdefgggnkapatcb,gLLAQbdceefftvnmtwn,Face: 12
hLLLQkbcdgfgfgdfnagoog,gLLAQbdceefftvnmtwn,Face: 9
hLLAAkbdceefggevrlebhk,gLLAQbdceefftvnmtwn,Face: 7
hLLAPkccdegffgakvhkkws,gLLAQbdceefftvnmtwn,Face: 4
hLLAPkccdegffgakvhkkws,iLLLAQcbdfefgghhasdxdkcdk,Edge: 16
hLLLQkbdffggfgajddukng,iLLLAQcbdfefgghhasdxdkcdk,Edge: 11
jLLLLQQbefeiigihhaadigbcbbn,iLLLAQcbdfefgghhasdxdkcdk,Face: 2
jLLvQPQcdefghghiiuketjfgbek,iLLzQMccdegffghhtgahuvvxn,Face: 11
jLvAzQQaefehghiiijeqcdwahdv,iLvAMQcaefeghghhjeqsjawie,Face: 13
jLLvQPQcdheghighihctagghbow,iLvAMQcaefeghghhjeqsjawie,Face: 11
jLLLLQQacefhhgiiijksjauvxxv,iLvAMQcaefeghghhjeqsjawie,Face: 3
hLvAQkaeffegggjxqrcjjj,iLLLMQcacgehfhghjkjopbmvt,Edge: 11
jLvAzQQaefehghiiijeqcdwahdv,iLLLMQcacgehfhghjkjopbmvt,Face: 11
jLLvMQQacegfhiihijkowbahhxr,iLLLMQcacgehfhghjkjopbmvt,Face: 6
jLLLLQQacefhhgiiijksjaufeeb,iLLLMQcacgehfhghjkjopbmvt,Face: 1
jLLvQPQcdefghghiiuketjfgbek,iLLLAQcacfgehghhjkgfwqraq,Face: 12
jLLvQPQcdheghighihctagghbow,iLLLAQcacfgehghhjkgfwqraq,Face: 11
jLLLLQQccfhgfghiitnesnfgskr,iLLLAQcacfgehghhjkgfwqraq,Face: 5
jLLLAAQbcfgefhhiilsuutsapcn,iLLLAQcacfgehghhjkgfwqraq,Face: 4
hLLPAkccdfefggtnkaanhw,iLLMLQcccdfgfghhufvabrctw,Edge: 11
jLLMzQPacdefghhiijkacfhlspw,iLLMLQcccdfgfghhufvabrctw,Face: 5
jLLLLQQccfhgfghiitnesnfgskr,iLLAPPccddefgghhpcvawondn,Face: 8
jLLwLQQacdhghggiijkapmatesn,iLLAPPccddefgghhpcvawondn,Face: 5
hLLLQkbcgfgfgflsmqqkss,gLLMQbdeefffeneaipn,Face: 12
hLLAAkcddeffgghrvahwxk,gLLMQbdeefffeneaipn,Face: 8
hLvAQkbeffgegghaphaljo,gLLMQbdeefffeneaipn,Face: 7
hLLMMkcceffgggqfhpuwrj,gLLMQbdeefffeneaipn,Face: 6
hLLMMkceceffggthcaancs,gLLMQbdeefffeneaipn,Face: 2
hLLPAkccdfefggtnkaanhw,gLLPQccdeffftnketwn,Face: 8
hLLAPkccedgfggqfhfwwow,gLLPQccdeffftnketwn,Face: 6
hLLPAkccdeffgglncxqnhj,gLLPQccdeffftnketwn,Face: 2
hLvAQkbeffgegghxulilcw,gLLAQcddefffhsjqxfo,Face: 11
