target,source,label
gLLAQcceeeffpviedxj,fLAMcaccdeejnbqqn,Face: 9
gLALQbcbeeffxxjgbqw,fLAMcaccdeejnbqqn,Face: 7
gLLAQacdeeffjkudwij,fLAMcaccdeejnbqqn,Face: 6
gLLAQacdefefjbxahkj,fLAMcaccdeejnbqqn,Face: 5
hLLAAkbddeefggxwrxxbqn,gLLAQcceeeffpviedxj,Face: 12
hLLLQkbdegeggflviutssj,gLLAQcceeeffpviedxj,Face: 11
hLLLQkbefegggftuquhxwn,gLLAQcceeeffpviedxj,Face: 10
hLLLQkbdfegggfxvqmhvjn,gLLAQcceeeffpviedxj,Face: 1
hLALPkbcbffgggxxjdttab,gLALQbcbeeffxxjgbqw,Face: 11
hLLLQkbdegeggflviutssj,gLLAQacdeeffjkudwij,Face: 11
hLLAMkcedefgfgqpvthwwj,gLLAQacdeeffjkudwij,Face: 7
hLLAAkaddeefggjmapcfhn,gLLAQacdefefjbxahkj,Face: 11
hLLMAkcbedffggpjakmodr,gLLAQacdefefjbxahkj,Face: 9
iLALLQccbbehhgghhhkoufofb,hLLAAkbddeefggxwrxxbqn,Face: 5
iLLPPMccdefffghhakedtkohj,hLLAAkbddeefggxwrxxbqn,Face: 3
gLLAQacdeeffjkudwij,hLLLQkbdegeggflviutssj,Edge: 11
iLLAwQcbdedfgghhdwpslpunn,hLLLQkbdegeggflviutssj,Face: 8
iLLAPMcbddefgghhxvrxfowdk,hLLLQkbdegeggflviutssj,Face: 5
iLLLAQcbddgfhgghhgnhwxfor,hLLLQkbefegggftuquhxwn,Face: 7
iLvAMQcbeffhfgghhauxhcvjn,hLLLQkbefegggftuquhxwn,Face: 6
iLLAPMcbddefgghhxvrxfowdk,hLLLQkbdfegggfxvqmhvjn,Face: 13
iLLLAQcbddgfhgghhgnhwxfor,hLLLQkbdfegggfxvqmhvjn,Face: 12
iLALLQccbbehhgghhhkoufofb,hLALPkbcbffgggxxjdttab,Face: 8
iLALLQcbcbffgghhhhjleennk,hLALPkbcbffgggxxjdttab,Face: 6
iLALzQccbbeghhghhhkoxfffj,hLALPkbcbffgggxxjdttab,Face: 3
iLLLAQcbcfgfehhhebpahklqx,hLLAMkcedefgfgqpvthwwj,Face: 10
iLLALQcbdcefgghhlvwqvcrpk,hLLAMkcedefgfgqpvthwwj,Face: 7
iLLAwQcbdeefhgghevdpaunjr,hLLAMkcedefgfgqpvthwwj,Face: 6
iLLLAQccddfgfhghlwfqgfunr,hLLAAkaddeefggjmapcfhn,Face: 11
iLvAMQcbeffhfgghhauxhcvjn,hLLAAkaddeefggjmapcfhn,Face: 8
iLLAPPcbddegfhghxvrdcnhjn,hLLAAkaddeefggjmapcfhn,Face: 1
iLLLAQccddfgfhghlwfqgfunr,hLLMAkcbedffggpjakmodr,Face: 12
iLLLAQccddfehhghtgfanaura,hLLMAkcbedffggpjakmodr,Face: 10
iLLLAQcacdfgfhghnkwrjkmrn,hLLMAkcbedffggpjakmodr,Face: 6
iLLALQcbdcefgghhlvwqvcrpk,hLLMAkcbedffggpjakmodr,Face: 5
hLALPkbcbffgggxxjdttab,iLALLQccbbehhgghhhkoufofb,Edge: 12
hLLMAkbddeefggasbiifxj,iLLPPMccdefffghhakedtkohj,Edge: 12
jLLLQzQcdfefghhiiakdqtnhlbs,iLLPPMccdefffghhakedtkohj,Face: 16
jLLLPAQbedhghgihiaasxjjsxfr,iLLPPMccdefffghhakedtkohj,Face: 2
jLLPLPQccdffgiiihqffqrfpunn,iLLAwQcbdedfgghhdwpslpunn,Face: 10
hLLLQkbdfegggfxvqmhvjn,iLLAPMcbddefgghhxvrxfowdk,Edge: 10
jLLPLPQccdffgiiihqffqrfpunn,iLLAPMcbddefgghhxvrxfowdk,Face: 10
hLLLQkbdfegggfxvqmhvjn,iLLLAQcbddgfhgghhgnhwxfor,Edge: 12
jLLvQQPcdfhhfghiihsmhbwwbqw,iLLLAQcbddgfhgghhgnhwxfor,Face: 9
jLvAAQPcdfgfgghiipvxliofqqn,iLLLAQcbddgfhgghhgnhwxfor,Face: 6
hLLAAkaddeefggjmapcfhn,iLvAMQcbeffhfgghhauxhcvjn,Edge: 12
jLvAMQPcecfhghgiihhnqwwkkar,iLvAMQcbeffhfgghhauxhcvjn,Face: 9
hLALPkbcbfffggxxjqhxxr,iLALLQcbcbffgghhhhjleennk,Edge: 10
jLAvLQQcbbfhgiiihqqnqqgrbbw,iLALLQcbcbffgghhhhjleennk,Face: 9
hLLMAkbddeefggasbiifxj,iLALzQccbbeghhghhhkoxfffj,Edge: 12
jLAvAMQcbbgfgihiiqqniiiagll,iLALzQccbbeghhghhhkoxfffj,Face: 8
jLLLAPQadfegighiijidssdcxgf,iLLLAQcbcfgfehhhebpahklqx,Face: 12
jLLALPQbdeeggiihievdpnfedju,iLLLAQcbcfgfehhhebpahklqx,Face: 11
hLLMAkcbedffggpjakmodr,iLLALQcbdcefgghhlvwqvcrpk,Edge: 11
jLLALPQbdcefhhiiilvwqvxuain,iLLALQcbdcefgghhlvwqvcrpk,Face: 14
jLLLAPQadfegighiijidssdcxgf,iLLALQcbdcefgghhlvwqvcrpk,Face: 12
jLLALMQbdcegghihilvwqrsxhkk,iLLALQcbdcefgghhlvwqvcrpk,Face: 2
jLLALPQbdeeggiihievdpnfedju,iLLAwQcbdeefhgghevdpaunjr,Face: 12
jLLLPQPacdhhghgiijknihsxrqk,iLLAwQcbdeefhgghevdpaunjr,Face: 1
hLLMAkcbedffggpjakmodr,iLLLAQccddfgfhghlwfqgfunr,Edge: 11
jLLLAPQcddfegihiitgfanvmpfv,iLLLAQccddfgfhghlwfqgfunr,Face: 14
jLLALPQbdcefhhiiilvwqvxuain,iLLLAQccddfgfhghlwfqgfunr,Face: 12
jLLLAMQbedefgihhilufupkxikk,iLLLAQccddfgfhghlwfqgfunr,Face: 8
jLLMLMQbddefhhgiixvrqftmjbn,iLLLAQccddfgfhghlwfqgfunr,Face: 4
jLLMLMQbddefhhgiixvrqftmjbn,iLLAPPcbddegfhghxvrdcnhjn,Face: 13
jLvAQMPaedfggfhiinlljkjblqw,iLLAPPcbddegfhghxvrdcnhjn,Face: 10
jLLLPQPbcfegghgiidfpufjfnhj,iLLAPPcbddegfhghxvrdcnhjn,Face: 8
jLLLAPQcddfegihiitgfanvmpfv,iLLLAQccddfehhghtgfanaura,Face: 14
jLLLPMQcddehhggiitgfnbvvrtj,iLLLAQccddfehhghtgfanaura,Face: 11
jLLLAPQadfegighiijidssdcxgf,iLLLAQccddfehhghtgfanaura,Face: 10
jLLLLQQadfeighihijidkqodlej,iLLLAQccddfehhghtgfanaura,Face: 5
jLLALMQbdecgghihitvajrsxqrj,iLLLAQcacdfgfhghnkwrjkmrn,Face: 14
jLLLPMQcddehhggiitgfnbvvrtj,iLLLAQcacdfgfhghnkwrjkmrn,Face: 12
jLLALMQbdcegghihilvwqrsxhkk,iLLLAQcacdfgfhghnkwrjkmrn,Face: 10
jLvAAPQadfegfhihinaqcvwqawj,iLLLAQcacdfgfhghnkwrjkmrn,Face: 5
iLLLQPccddefgghhafnpbwjpn,hLLMAkbddeefggasbiifxj,Face: 14
iLALzQccbbeghhghhhkoxfffj,hLLMAkbddeefggasbiifxj,Face: 4
iLLLQPccddefgghhafnpbwjpn,jLLLQzQcdfefghhiiakdqtnhlbs,Edge: 15
kLLvPAQkacgiifhjhjjnkkllkeuqgn,jLLLQzQcdfefghhiiakdqtnhlbs,Face: 12
kLALvPQkcbbehjjjiiihhkooaiifof,jLLLPAQbedhghgihiaasxjjsxfr,Face: 9
kLLLwQAkbedfigiihjjaafiaoiujhs,jLLLPAQbedhghgihiaasxjjsxfr,Face: 2
iLLAPMcbddefgghhxvrxfowdk,jLLPLPQccdffgiiihqffqrfpunn,Edge: 13
iLLAMMcbdedfgghhdwastllkw,jLLPLPQccdffgiiihqffqrfpunn,Edge: 11
kLvPPLQkccfeghjiijjhnhqkodthpg,jLLvQQPcdfhhfghiihsmhbwwbqw,Face: 9
kLvPPLQkccfeghjiijjhnhqkodthpg,jLvAAQPcdfgfgghiipvxliofqqn,Face: 11
kLLLPMAkccfegfhhijjubalffgbqhk,jLvAAQPcdfgfgghiipvxliofqqn,Face: 7
kLvLMQAkafgehfghijjjdgvrbsslqn,jLvAMQPcecfhghgiihhnqwwkkar,Face: 11
kLLLPMAkccfegfhhijjubalffgbqhk,jLvAMQPcecfhghgiihhnqwwkkar,Face: 8
iLALLQcbcbefgghhhhjstnfnk,hLALPkbcbfffggxxjqhxxr,Face: 3
kLAvLMQkbcbfhjjjhiihhjeeallbnk,jLAvLQQcbbfhgiiihqqnqqgrbbw,Face: 4
kLAvLMQkbcbfhjjjhiihhjeeallbnk,jLAvAMQcbbgfgihiiqqniiiagll,Face: 7
kLALvPQkcbbehjjjiiihhkooaiifof,jLAvAMQcbbgfgihiiqqniiiagll,Face: 5
kLALzPMkcbbegighjjjhhkoxafjaff,jLAvAMQcbbgfgihiiqqniiiagll,Face: 1
iLLLAQccddfehhghtgfanaura,jLLLAPQadfegighiijidssdcxgf,Edge: 15
iLLALQcbdcefgghhlvwqvcrpk,jLLLAPQadfegighiijidssdcxgf,Edge: 11
kLLAvPQkbdedghjjiijtvarsqxdvbv,jLLLAPQadfegighiijidssdcxgf,Face: 16
kLLLMAMkbcfehhgijijebpqkfjhtnn,jLLLAPQadfegighiijidssdcxgf,Face: 2
iLLAwQcbdeefhgghevdpaunjr,jLLALPQbdeeggiihievdpnfedju,Edge: 11
kLLALMMkcdeeggihijjlgpugsugawk,jLLALPQbdeeggiihievdpnfedju,Face: 7
kLLLAMMkbcgdffhiijjdfhwgouikpn,jLLALPQbdeeggiihievdpnfedju,Face: 1
iLLLAQccddfgfhghlwfqgfunr,jLLALPQbdcefhhiiilvwqvxuain,Edge: 15
kLLAvPQkbdedghjjiijtvarsqxdvbv,jLLALPQbdcefhhiiilvwqvxuain,Face: 17
kLLALzQkcbdefhhjijjpjodndmifgk,jLLALPQbdcefhhiiilvwqvxuain,Face: 6
kLLALzQkbdcefhihjjjlvwqvxhtbbg,jLLALPQbdcefhhiiilvwqvxuain,Face: 1
iLLLAQcacdfgfhghnkwrjkmrn,jLLALMQbdcegghihilvwqrsxhkk,Edge: 13
kLLAPvQkbdcefghiijjlvwqjrdockn,jLLALMQbdcegghihilvwqrsxhkk,Face: 16
kLLLMAMkbcfehhgijijebpqkfjhtnn,jLLALMQbdcegghihilvwqrsxhkk,Face: 14
kLLLAMMkbcgdffhiijjdfhwgouikpn,jLLLPQPacdhhghgiijknihsxrqk,Face: 14
kLLLzAQkacdgfhihijjjkngkxamnkk,jLLLPQPacdhhghgiijknihsxrqk,Face: 7
iLLLAQccddfehhghtgfanaura,jLLLAPQcddfegihiitgfanvmpfv,Edge: 15
kLLAvPQkbdedghjjiijtvarsqxdvbv,jLLLAPQcddfegihiitgfanvmpfv,Face: 17
kLLLwPQkbedejhhijjilufulocipqk,jLLLAPQcddfegihiitgfanvmpfv,Face: 13
kLLLAPPkcddfeghjijjtgfanvxoskn,jLLLAPQcddfegihiitgfanvmpfv,Face: 9
kLLLQLPkcddfgfhjjijukftjkqrnrn,jLLLAPQcddfegihiitgfanvmpfv,Face: 6
kLLLwPQkbedejhhijjilufulocipqk,jLLLAMQbedefgihhilufupkxikk,Face: 16
kLLALzQkcbdefhhjijjpjodndmifgk,jLLLAMQbedefgihhilufupkxikk,Face: 14
kLLMLMAkccdfegihijjqfwennmqcpw,jLLLAMQbedefgihhilufupkxikk,Face: 9
kLLLMMMkbdeehghijijlviigkoxmkw,jLLLAMQbedefgihhilufupkxikk,Face: 8
iLLAPPcbddegfhghxvrdcnhjn,jLLMLMQbddefhhgiixvrqftmjbn,Edge: 11
kLLLAPPkcddfeghjijjtgfanvxoskn,jLLMLMQbddefhhgiixvrqftmjbn,Face: 16
kLLLALQkccfgfjhjijiubamxxuesvs,jLLMLMQbddefhhgiixvrqftmjbn,Face: 15
kLLALzQkbdcefhihjjjlvwqvxhtbbg,jLLMLMQbddefhhgiixvrqftmjbn,Face: 14
kLLMLMAkccdfegihijjqfwennmqcpw,jLLMLMQbddefhhgiixvrqftmjbn,Face: 10
kLLLMPAkbcefgghhijjebiqrobkpxr,jLvAQMPaedfggfhiinlljkjblqw,Face: 13
kLvLMQAkafgehfghijjjdgvrbsslqn,jLvAQMPaedfggfhiinlljkjblqw,Face: 7
kLLLALQkccfgfjhjijiubamxxuesvs,jLLLPQPbcfegghgiidfpufjfnhj,Face: 15
kLLLMPAkbcefgghhijjebiqrobkpxr,jLLLPQPbcfegghgiidfpufjfnhj,Face: 12
