id,oriented,tetrahedra
fLAMcaccdeejnbqqn,1,5
gLLAQcceeeffpviedxj,1,6
gLALQbcbeeffxxjgbqw,1,6
gLLAQacdeeffjkudwij,1,6
gLLAQacdefefjbxahkj,1,6
hLLAAkbddeefggxwrxxbqn,0,7
hLLLQkbdegeggflviutssj,1,7
hLLLQkbefegggftuquhxwn,1,7
hLLLQkbdfegggfxvqmhvjn,1,7
hLALPkbcbffgggxxjdttab,0,7
hLLAMkcedefgfgqpvthwwj,1,7
hLLAAkaddeefggjmapcfhn,1,7
hLLMAkcbedffggpjakmodr,1,7
iLALLQccbbehhgghhhkoufofb,0,8
iLLPPMccdefffghhakedtkohj,0,8
iLLAwQcbdedfgghhdwpslpunn,1,8
iLLAPMcbddefgghhxvrxfowdk,1,8
iLLLAQcbddgfhgghhgnhwxfor,1,8
iLvAMQcbeffhfgghhauxhcvjn,1,8
iLALLQcbcbffgghhhhjleennk,0,8
iLALzQccbbeghhghhhkoxfffj,0,8
iLLLAQcbcfgfehhhebpahklqx,1,8
iLLALQcbdcefgghhlvwqvcrpk,1,8
iLLAwQcbdeefhgghevdpaunjr,1,8
iLLLAQccddfgfhghlwfqgfunr,1,8
iLLAPPcbddegfhghxvrdcnhjn,1,8
iLLLAQccddfehhghtgfanaura,1,8
iLLLAQcacdfgfhghnkwrjkmrn,1,8
hLLMAkbddeefggasbiifxj,0,7
jLLLQzQcdfefghhiiakdqtnhlbs,0,9
jLLLPAQbedhghgihiaasxjjsxfr,0,9
jLLPLPQccdffgiiihqffqrfpunn,1,9
jLLvQQPcdfhhfghiihsmhbwwbqw,1,9
jLvAAQPcdfgfgghiipvxliofqqn,1,9
jLvAMQPcecfhghgiihhnqwwkkar,1,9
hLALPkbcbfffggxxjqhxxr,1,7
jLAvLQQcbbfhgiiihqqnqqgrbbw,0,9
jLAvAMQcbbgfgihiiqqniiiagll,0,9
jLLLAPQadfegighiijidssdcxgf,1,9
jLLALPQbdeeggiihievdpnfedju,1,9
jLLALPQbdcefhhiiilvwqvxuain,1,9
jLLALMQbdcegghihilvwqrsxhkk,1,9
jLLLPQPacdhhghgiijknihsxrqk,1,9
jLLLAPQcddfegihiitgfanvmpfv,1,9
jLLLAMQbedefgihhilufupkxikk,1,9
jLLMLMQbddefhhgiixvrqftmjbn,1,9
jLvAQMPaedfggfhiinlljkjblqw,1,9
jLLLPQPbcfegghgiidfpufjfnhj,1,9
jLLLPMQcddehhggiitgfnbvvrtj,1,9
jLLLLQQadfeighihijidkqodlej,1,9
jLLALMQbdecgghihitvajrsxqrj,1,9
jLvAAPQadfegfhihinaqcvwqawj,1,9
iLLLQPccddefgghhafnpbwjpn,0,8
kLLvPAQkacgiifhjhjjnkkllkeuqgn,0,10
kLALvPQkcbbehjjjiiihhkooaiifof,0,10
kLLLwQAkbedfigiihjjaafiaoiujhs,0,10
iLLAMMcbdedfgghhdwastllkw,1,8
kLvPPLQkccfeghjiijjhnhqkodthpg,1,10
kLLLPMAkccfegfhhijjubalffgbqhk,1,10
kLvLMQAkafgehfghijjjdgvrbsslqn,1,10
iLALLQcbcbefgghhhhjstnfnk,0,8
kLAvLMQkbcbfhjjjhiihhjeeallbnk,0,10
kLALzPMkcbbegighjjjhhkoxafjaff,0,10
kLLAvPQkbdedghjjiijtvarsqxdvbv,1,10
kLLLMAMkbcfehhgijijebpqkfjhtnn,1,10
kLLALMMkcdeeggihijjlgpugsugawk,1,10
kLLLAMMkbcgdffhiijjdfhwgouikpn,1,10
kLLALzQkcbdefhhjijjpjodndmifgk,1,10
kLLALzQkbdcefhihjjjlvwqvxhtbbg,1,10
kLLAPvQkbdcefghiijjlvwqjrdockn,1,10
kLLLzAQkacdgfhihijjjkngkxamnkk,1,10
kLLLwPQkbedejhhijjilufulocipqk,1,10
kLLLAPPkcddfeghjijjtgfanvxoskn,1,10
kLLLQLPkcddfgfhjjijukftjkqrnrn,1,10
kLLMLMAkccdfegihijjqfwennmqcpw,1,10
kLLLMMMkbdeehghijijlviigkoxmkw,1,10
kLLLALQkccfgfjhjijiubamxxuesvs,1,10
kLLLMPAkbcefgghhijjebiqrobkpxr,1,10
kLLAvPQkbdecihijjhjtvajaxddirv,1,10
kLLLALQkccdegghjiijpvrdgvlsfrj,1,10
kLLLAzQkcddfghgjiijukftjhswbjr,1,10
iLLAzQcbedegfghhxxrxunwxw,1,8
kLLLPzQkcddhfighjijhsgwwhjblwk,1,10
jLLLMQPcdgfgfghiiagaangnwqn,0,9
jLLMMPPcbeefgghiiunuqaoclxr,0,9
jLAvLQQbcbfhgiiihxxjxxgwbbr,0,9
jLLALMQbedegfhiiixxrxcnjlea,1,9
jLLLMPQacdefiiihhnkwcnxxahj,1,9
jLLALPQbdedfigiihevdswewxsj,1,9
kLLLMLQkcdgefihhijjafapbunntfn,0,10
kLALvMQkcbbeijigjijqqnnnawwdcd,0,10
kLLLPzQkadehhijjjiijmxddhqaqhb,1,10
kLLALMPkbedegfijijjxxrxcntxhqw,1,10
kLLALzQkbdedfgijhjjevdswstkjvg,1,10
kLLAvPQkbdecjiijjihtvajxddxarr,1,10
kLLLMPMkacdffhiijijnkwrrxitsks,1,10
kLLAvPQkbdediggihjjevdsmswjjcn,1,10
