id,oriented,tetrahedra
fLLQccceddeufxjjj,1,5
gLLPQcdcfeffqsneivf,0,6
gLLPQcdcfeefqcnqasj,1,6
gLLAQccedfefhwxgqjw,1,6
gLLAQbdceeffessulkw,1,6
hLLAMkbdedffggtvurxoxj,0,7
hLLMAkbcdfefggeskmejpk,0,7
hLLAAkcedeefgghtvaexhk,0,7
hLLMAkacedffggnktnkbqn,1,7
hLLAAkaeddefggniadcoxr,1,7
hLLMAkaceefeggnktfonhn,1,7
hLLLQkacdggffgnksvkvkv,1,7
hLLAAkbdceffgghgsqugqr,1,7
hLLLQkbceggfgflkxatrwk,1,7
hLLLQkadfegfggjidksrrc,1,7
iLLAzQcbdedfhghhtvurrusmt,0,8
iLLLQMcbedefgghhlufupkkxk,0,8
iLLLMQcbeegffghhdlxaacrrr,0,8
iLLLAQcbddffgghhlrfagjndw,0,8
iLLLAQcacgeffhhhnkccckqxe,0,8
iLLLAQcbcfgehgghlshaixfvr,0,8
iLLAMMcbdeeffghhevdpannxr,0,8
iLLLMQccddefhgghlgfqfinjn,1,8
iLLLPQcacfeghhhgjkngfaelj,1,8
iLLwMQccbefhfgghqnhabggnk,1,8
iLLPMMcaedefgfhhjtdxrtrqn,1,8
iLLMPPcacdefghghnkanfihkn,1,8
iLLMwQcacedfhghhnktsvtdgs,1,8
iLLLMQcbdgefghghxwixsvroj,1,8
iLLALQccbdeghhghujvinudrl,1,8
iLLALQccddegfghhtrvajksdw,1,8
iLLLMQcadegffhhhjpxwwcmxq,1,8
iLLLAQcadfeghhghjxdcndtct,1,8
iLLLMQcadfeghhghnpmcjpunm,1,8
jLLLMPQbedegihhiilufuklocpq,0,9
jLLLQLQcddfgfhiiiukftjkqarn,0,9
jLLLMAQbeefehghiidlxudnokuw,0,9
jLLLAPQbcfgegiihiesuaentekk,0,9
jLLLLQQbdehifghiixvpkvjjjoj,0,9
jLLPLPQccdfggiiihubwxrsaqnn,0,9
jLLPzAQccdefghihiubwdnshxjr,0,9
jLLLMAQbceffhgihidnpegvsqkn,0,9
jLLLMMQcddfeghiiitgfajcamsr,1,9
jLLvQPQcdeggihghiukqujxjjjj,1,9
jLvLQAQaefhggfhiinxkkkbbgan,1,9
jLLLQLQcddfgfihhiukftwkmdjs,1,9
jLLLAAQcceeghfhiipvudpqwpww,1,9
jLLLPPQccdghhhgiipvrgwnkvlw,1,9
jLLzMQPaceefghgiinkacvxxrxj,1,9
jLLMwAQacedfghhiinktsvuxnqw,1,9
jLvAQLQadfeggihhinaqcvkqqjn,1,9
jLLAvQQbdedighgiilvagasmjkb,1,9
jLLAPLQbdcegfhiiitvwqjveusb,1,9
jLLAvQQcddefhihiitrvakmheef,1,9
jLLALAQcbdeghhiiiujvinphdeg,1,9
jLLvPQQcbffhghhiipnpgnoggww,1,9
jLLLAPQacdgfhihhinksvseidxj,1,9
jLLvMQQcedghihgiippngbnonbb,1,9
jLLLMPQadfehgihiijxdciouhtk,1,9
hLLAAkbedeffggxxrxhmqw,1,7
jLLALPQceddgfihiiuqvgvjmqvs,1,9
kLLLMAPkbeeeghgijjjlupupkoqpns,0,10
kLLAwzQkbdedfhjhijjevdslmdfbat,0,10
iLLALQcbedeghghhxxrxcwjkj,0,8
kLLAzzQkbddefijhijjlvklnxudkvg,0,10
kLLzLMQkccdhfghjjjiubwrfwkeion,0,10
kLLLzQMkccfgghihijjunaujbunufs,0,10
kLLvMAQkacfhghjjiijnkvlouppmvj,0,10
kLvLLQQkaefhgijjiijjxfbchxttti,0,10
kLLLAzQkcddfggjjiijtgfagcmkvbc,0,10
kLLMPLAkbcdegfhihjjebbujbmmkhj,0,10
kLLLMwQkcddffghjjijukftkfqnwsg,1,10
kLLwLAQkaedihfjihjjjtaltspddsb,1,10
kLvAwMQkcdfehhijhijhvlhnvudgkk,1,10
kLvLLQQkaefhiighijjnxjrqevnhmr,1,10
kLLvPPQkcbfifgjijhjqnmnjbtfana,1,10
iLLALQcbedegfghhxxrxgjgws,1,8
kLLLMLQkccfgghjijjiubamjriaixk,1,10
kLvAAPPkbeffghgjiijtalahnbeikk,1,10
kLLLLQAkadfigfhhijjjxdmkohhhan,1,10
kLLAvQAkbdedhgigijjlvagdsejsxr,1,10
kLLAPLAkbdcegfihijjtvwqjvdakqw,1,10
