target,source,label
gLLAQbdedffftvqgxgr,fLLQcacedeejkeusf,Face: 9
gLLAQcedcfffhqvrqjs,fLLQcacedeejkeusf,Face: 6
gLvQQadfeeffjaqmksv,fLLQcacedeejkeusf,Face: 5
gLLPQacefeffjkqjbkw,fLLQcacedeejkeusf,Face: 2
gLLAQbddeeffevnmhvj,fLLQcacedeejkeusf,Face: 1
hLLLQkbcfeggfgdfpxxofv,gLLAQbdedffftvqgxgr,Face: 10
hLLLQkbdefeggglvmltkko,gLLAQbdedffftvqgxgr,Face: 8
hLLLQkbdfgegfglvmmtksk,gLLAQbdedffftvqgxgr,Face: 6
hLLPAkbddeefggevsaevqj,gLLAQcedcfffhqvrqjs,Face: 9
hLLAAkbcedefgglsajlsqj,gLLAQcedcfffhqvrqjs,Face: 6
hLLLQkbcfeggfgdfpxxofv,gLvQQadfeeffjaqmksv,Face: 11
hLvAQkafefegggnidocbjb,gLvQQadfeeffjaqmksv,Face: 8
hLLAMkcedeffgghqvtpkws,gLvQQadfeeffjaqmksv,Face: 7
hLvAQkaefegfggjeqsosjb,gLvQQadfeeffjaqmksv,Face: 5
hLvMQkbefefgfgpamtmpck,gLvQQadfeeffjaqmksv,Face: 4
hLLLQkbdefeggglvmltkko,gLLPQacefeffjkqjbkw,Face: 11
hLLLQkbdefeggglvmltkko,gLLPQacefeffjkqjbkw,Face: 10
hLLPAkcdfeefgguoiiixen,gLLPQacefeffjkqjbkw,Face: 9
hLLPAkbddeefggevsaevqj,gLLPQacefeffjkqjbkw,Face: 8
hLLPMkcdefffggdvalarbs,gLLPQacefeffjkqjbkw,Face: 7
hLLzQkacefefggjkqjvkxk,gLLPQacefeffjkqjbkw,Face: 2
hLLLQkbdfgegfglvmmtksk,gLLAQbddeeffevnmhvj,Face: 11
hLLLQkbdfgegfglvmmtksk,gLLAQbddeeffevnmhvj,Face: 10
hLLAAkbcedefgglsajlsqj,gLLAQbddeeffevnmhvj,Face: 8
hLLMAkacdeffggjkankgaj,gLLAQbddeeffevnmhvj,Face: 1
gLLPQcdeffefukuhppk,hLLLQkbcfeggfgdfpxxofv,Edge: 11
gLvQQadfeeffjaqmksv,hLLLQkbcfeggfgdfpxxofv,Edge: 10
iLLLPQcbcegfhghhebitkosrr,hLLLQkbcfeggfgdfpxxofv,Face: 13
iLLLPQcbcgfhhfghdfddrjfck,hLLLQkbcfeggfgdfpxxofv,Face: 12
ivLAPQcdefghhgghrvqllahfs,hLLLQkbcfeggfgdfpxxofv,Face: 6
ivLLQQccdfgfghhhjcxpmalgj,hLLLQkbcfeggfgdfpxxofv,Face: 4
gLLPQacefeffjkqjbkw,hLLLQkbdefeggglvmltkko,Edge: 9
iLLLMQccdeegghhhuoiijsscv,hLLLQkbdefeggglvmltkko,Face: 14
iLLLMQcbdgffhghhlvdlgjocc,hLLLQkbdefeggglvmltkko,Face: 12
iLvLQQccfeghfhghtladlccnk,hLLLQkbdefeggglvmltkko,Face: 5
iLLLQPcbdegefghhlvmqtgwxj,hLLLQkbdefeggglvmltkko,Face: 2
gLLMQbcdeffferwhuwn,hLLLQkbdfgegfglvmmtksk,Edge: 10
gLLAQbddeeffevnmhvj,hLLLQkbdfgegfglvmmtksk,Edge: 9
iLLLQPccddegfghhlgfmgjfew,hLLLQkbdfgegfglvmmtksk,Face: 1
gLLPQacefeffjkqjbkw,hLLPAkbddeefggevsaevqj,Edge: 11
iLvAQPccdcegfghhhvrhncvaw,hLLPAkbddeefggevsaevqj,Face: 2
gLLAQbddeeffevnmhvj,hLLAAkbcedefgglsajlsqj,Edge: 11
iLvAQMccdcefgghhqvjqckvaj,hLLAAkbcedefgglsajlsqj,Face: 1
iLLLPQcccefhghghubxxnwvbg,hLvAQkafefegggnidocbjb,Face: 13
iLvAMQcadegfhghhnxeckqkqp,hLvAQkafefegggnidocbjb,Face: 10
iLvLQQcafehfghghnpbwfbcbc,hLvAQkafefegggnidocbjb,Face: 9
iLvAPQcadefghhghnadwjaxvd,hLvAQkafefegggnidocbjb,Face: 8
gLLPQceeffefhqteaxl,hLLAMkcedeffgghqvtpkws,Edge: 12
iLLLMQcbceghfgghlsaaosgbk,hLLAMkcedeffgghqvtpkws,Face: 7
iLLAMMcbdeefgghhevhqavshr,hLLAMkcedeffgghqvtpkws,Face: 6
iLLLAQcbcfgfgfhhlsladosar,hLLAMkcedeffgghqvtpkws,Face: 5
iLLLPQcbcegfhghhebitkosrr,hLvAQkaefegfggjeqsosjb,Face: 13
iLvLQQcafegfghhhjdsnsjrko,hLvAQkaefegfggjeqsosjb,Face: 10
iLvAMQcadfeghhghnatnjumja,hLvAQkaefegfggjeqsosjb,Face: 9
iLLzPQccdfefgghhqktqkjjjw,hLvAQkaefegfggjeqsosjb,Face: 6
iLvLQQcadghgfhhgjugjnvokj,hLvAQkaefegfggjeqsosjb,Face: 4
iLLLPQcbcgfhhfghdfddrjfck,hLvMQkbefefgfgpamtmpck,Face: 13
iLvLQQcafehfghghnpbwfbcbc,hLvMQkbefefgfgpamtmpck,Face: 10
iLLLAQcbcegffghhpwmaqwbmr,hLvMQkbefefgfgpamtmpck,Face: 9
iLLLAQcccfgefghhdwatafshr,hLvMQkbefefgfgpamtmpck,Face: 5
iLLLMQcbdeghgfhhmktivrrwb,hLvMQkbefefgfgpamtmpck,Face: 4
iLLLMQccdeegghhhuoiijsscv,hLLPAkcdfeefgguoiiixen,Face: 13
iLLLMQcbcfgfhhghdfpavocjg,hLLPAkcdfeefgguoiiixen,Face: 12
iLvLQQcaefhggfhhjtkjnvbko,hLLPAkcdfeefgguoiiixen,Face: 9
iLvAPQcaefgffghhjuqrfrstk,hLLPAkcdfeefgguoiiixen,Face: 6
iLvAAQcaefeghhghjeqvfmakd,hLLPAkcdfeefgguoiiixen,Face: 4
iLLLMQcbdgffhghhlvdlgjocc,hLLPMkcdefffggdvalarbs,Face: 13
iLvLQQcaefhggfhhjtkjnvbko,hLLPMkcdefffggdvalarbs,Face: 10
iLLLPQcbedhfhhggpdfpggcrk,hLLPMkcdefffggdvalarbs,Face: 9
iLLLAQcccfgefghhdwatafshr,hLLPMkcdefffggdvalarbs,Face: 7
iLLLMQcbdegghfhhmvtavvrsw,hLLPMkcdefffggdvalarbs,Face: 4
iLLLQPcbdegefghhlvmqtgwxj,hLLzQkacefefggjkqjvkxk,Face: 13
iLLLQPcbdegefghhlvmqtgwxj,hLLzQkacefefggjkqjvkxk,Face: 12
iLvAPQcaefgffghhjuqrfrstk,hLLzQkacefefggjkqjvkxk,Face: 11
iLvAQPccdcegfghhhvrhncvaw,hLLzQkacefefggjkqjvkxk,Face: 10
iLvAPQcaefgffghhjuqrfrstk,hLLzQkacefefggjkqjvkxk,Face: 8
