id,oriented,tetrahedra
fLAMcaccdeennjqqn,1,5
gLLAQcceeeffubiudxj,1,6
gLLAQccedfefqfxjhnn,1,6
gLLAQacdefefnbxahjj,1,6
hLLLQkbefegggflpqphxcn,1,7
hLLAMkbdedfgfgdwaslxjr,1,7
hLLPAkcdcfefggqsjadrps,1,7
hLLAAkaddeefggniapcfhn,1,7
hLLMAkcbedffggpnajmodr,1,7
iLLAMPcbeedfgghhtiagdgkxn,1,8
iLvAMQcbeffhfgghhaqxhcvwn,1,8
iLLLQMcbddffgfhhxvwxnkcqw,1,8
iLLAPMcbcedfgfhhtsxfjjnqw,1,8
iLLPLQcacdeghgghnkmblqemn,1,8
iLLLAQccddfgfhghtwfqgfujr,1,8
iLLLQPccddegfhghhsgqwjqwn,1,8
iLLLAQcbcffeghghebmqewurj,1,8
iLLLAQccddfehhghtgfarauka,1,8
jLLwLQQaceifhighinktlwldkoj,1,9
jLLLMPQbddgfigiihhgnhfdcinn,1,9
jLLAzPQcdecgghhiihkhnwcppwk,1,9
jLLPwAQccdfehgihiqffaaaaxrj,1,9
jLLLLQQcbgfghghiipntgscorkk,1,9
jLLLMPQccdeghghiiqfjqkuohcw,1,9
jLLLAPQcddfegihiitgfarvmpfg,1,9
jLLLMPQcddffhghiihsgegiwqkk,1,9
jLLvQMQcdhefhighiqkaqkkhsnn,1,9
jLLLLQQcddhhgfihihsgrcnwxbr,1,9
jLLLAPQcddefiigihhsgpbthjsw,1,9
kLLMwMPkacdefhhiijjncaccebjglr,1,10
kLLMLAAkaceegghhijjjoukditwcxj,1,10
kLLPLPMkcdcefhhiijjhgnmjxmljvw,1,10
iLLAPPcbcedfghghtsxfjjqkw,1,8
kLLLwPQkacfgihiihjjnkwwimxxmnn,1,10
kLLPzAMkacdffghiijjnkmovltxmnk,1,10
kLLvPPQkacghfihihjjnkkhbleeqkn,1,10
kLLvMMQkcbgifjgihjjqjawnhncjha,1,10
kLLLAzQkcddfegiijjjtgfarvhsrwo,1,10
kLLLAwQkcddefgijhjjhsgpbbigwsg,1,10
kLLPzAPkcdcefhgjjijhgnmrmsbwjw,1,10
kLLvMMQkadfhighjiijjugjpokhpqj,1,10
iLLAzQcbedegfghhxxrxurwxj,1,8
hLLAAkaddeefggnuapwoqw,1,7
jLLALMQbedegfhiiixxrxcrjlda,1,9
jLLLAMQbcfgfhihhidfphhxhetj,1,9
gLLAQadedeffnulhvok,1,6
kLLLLAQkccfihijjjhipvhgbjhptvj,1,10
kLLALwQkbedegfhjijjxxrxcrwuhvk,1,10
fLLQcacdedejkxxrr,1,5
hLLLQkadfeggfgnumvnwvo,1,7
gLLAQcddefefpfvqmsk,1,6
gLLAQacdefefjsxxhkw,1,6
hLLAPkbdceffgghgrxgows,1,7
hLLMMkbcdfegfgdfjpdxkn,1,7
hLLAAkadedefggjulpvoxk,1,7
iLLMPPcacefegghhjktcwxufn,1,8
iLLLAQcbcffghgghdfuxuxson,1,8
jLLMLAQbcdefhghiiebbpbqvibj,1,9
jLLAMMPbdedfgghiievisleuchr,1,9
kLLAwzQkbdedfhhiijjevisldwbrtn,1,10
iLLAPPccdecgfhhhqsujgoqqa,1,8
jLLPwAQacdefghiiijkmbvxpqqa,1,9
jLLAwQPbdedfgghiievdsadisqj,1,9
kLLAwMMkbdedfhhiijjevdsapcoclj,1,10
