manifold, geometric, nongeometric, percentage
m055, 100, 75, 57.1
m076, 48, 26, 64.9
m179, 293, 233, 55.7
m047, 243, 59, 80.5
m077, 341, 94, 78.4
m007, 41, 104, 28.3
m038, 483, 960, 33.5
m151, 19, 0, 100.0
m004, 12, 4702, 0.3
m094, 332, 68, 83.0
m006, 36, 53, 40.4
m164, 308, 45, 87.3
m185, 887, 112, 88.8
m160, 412, 676, 37.9
m154, 278, 255, 52.2
m103, 405, 98, 80.5
m135, 14, 3187, 0.4
m122, 333, 10, 97.1
m072, 112, 23, 83.0
m053, 899, 123, 88.0
m098, 424, 0, 100.0
m061, 9, 25, 26.5
m016, 217, 477, 31.3
m157, 10, 36, 21.7
m062, 98, 171, 36.4
m017, 15, 33, 31.2
m009, 60, 16691, 0.4
m175, 421, 466, 47.5
m034, 304, 721, 29.7
m120, 1002, 534, 65.2
m190, 74, 23, 76.3
m163, 295, 6, 98.0
m106, 72, 0, 100.0
m192, 1558, 535, 74.4
m026, 253, 104, 70.9
m165, 357, 102, 77.8
m145, 431, 349, 55.3
m049, 114, 42, 73.1
m172, 251, 46, 84.5
m183, 266, 346, 43.5
m066, 7, 23, 23.3
m036, 298, 617, 32.6
m178, 649, 595, 52.2
m085, 93, 269, 25.7
m078, 331, 98, 77.2
m093, 76, 27, 73.8
m082, 147, 85, 63.4
m100, 180, 13, 93.3
m171, 924, 234, 79.8
m123, 214, 14, 93.9
m140, 314, 2664, 10.5
m019, 102, 118, 46.4
m073, 320, 30, 91.4
m115, 767, 511, 60.0
m060, 562, 525, 51.7
m033, 675, 92, 88.0
m029, 147, 271, 35.2
m052, 692, 19, 97.3
m099, 76, 0, 100.0
m079, 218, 199, 52.3
m102, 279, 68, 80.4
m037, 3, 60, 4.8
m074, 609, 71, 89.6
m136, 18, 5130, 0.3
m180, 176, 29, 85.9
m168, 492, 2520, 16.3
m027, 207, 37, 84.8
m080, 447, 943, 32.2
m191, 96, 40, 70.6
m096, 73, 13, 84.9
m188, 729, 2455, 22.9
m119, 292, 74, 79.8
m039, 192, 323, 37.3
m162, 502, 51, 90.8
m067, 140, 186, 42.9
m054, 44, 32, 57.9
m181, 49, 0, 100.0
m010, 36, 9595, 0.4
m149, 155, 5469, 2.8
m116, 181, 146, 55.4
m139, 20, 1789, 1.1
m189, 992, 476, 67.6
m193, 64, 0, 100.0
m023, 307, 502, 37.9
m070, 324, 220, 59.6
m155, 547, 288, 65.5
m035, 112, 563, 16.6
m044, 190, 36, 84.1
m113, 80, 0, 100.0
m030, 6, 29, 17.1
m095, 327, 35, 90.3
m142, 619, 620, 50.0
m058, 602, 214, 73.8
m166, 336, 38, 89.8
m110, 49, 79, 38.3
m147, 480, 2680, 15.2
m137, 1552, 15981, 8.9
m089, 7, 23, 23.3
m069, 127, 131, 49.2
m022, 170, 600, 22.1
m161, 328, 345, 48.7
m130, 141, 1703, 7.6
m167, 145, 0, 100.0
m173, 234, 51, 82.1
m170, 104, 0, 100.0
m059, 910, 434, 67.7
m032, 1464, 204, 87.8
m169, 172, 79, 68.5
m144, 129, 0, 100.0
m112, 359, 106, 77.2
m143, 842, 597, 58.5
m182, 54, 48, 52.9
m146, 512, 3255, 13.6
m150, 86, 0, 100.0
m125, 885, 30986, 2.8
m118, 463, 341, 57.6
m064, 104, 114, 47.7
m111, 285, 177, 61.7
m015, 1507, 422, 78.1
m184, 73, 0, 100.0
m141, 209, 450, 31.7
m071, 399, 14, 96.6
m011, 162, 226, 41.8
m081, 555, 540, 50.7
m046, 25, 105, 19.2
m083, 346, 0, 100.0
m040, 125, 274, 31.3
m043, 412, 241, 63.1
m117, 426, 467, 47.7
m045, 556, 3268, 14.5
m087, 111, 27, 80.4
m084, 6, 49, 10.9
m003, 4, 24, 14.3
m186, 345, 85, 80.2
m148, 759, 6832, 10.0
m129, 2154, 23501, 8.4
m105, 337, 85, 79.9
m121, 810, 433, 65.2
m104, 46, 26, 63.9
m108, 114, 13, 89.8
m090, 126, 195, 39.3
m159, 202, 176, 53.4
