id,oriented,tetrahedra
cPcbbbdxm,1,2
dLQacccjgnb,1,3
eLAkaccddngbqw,1,4
fLLQcacdeeenkadnj,0,5
gLLQPccddefftnnruhj,0,6
gLLAQccdeeffakvhqkw,0,6
fLAMcbccdeehhnaqw,1,5
hLLAAkbcedefggasxfajxr,0,7
fLLQcbcedeelsajdd,0,5
hLLAMkbeedffggaapkabkk,0,7
gLLAQbceeefftkamixj,0,6
iLLAMMcbeedffghhaaekawchk,0,8
eLMkbcdddahxpi,0,4
iLLLMQcbedgffghhaafhssojk,0,8
hLLAAkccedefggqgifqjhn,0,7
hLLAAkbcedefggajhfashn,0,7
jLLLMMQbedghhighiaafhjjhjjn,0,9
hLLAMkbcedfggglsajaadd,0,7
jLLLMAQcdgfefhiiiasaassoamm,0,9
iLLLPQcceffheghhthddansrr,0,8
kLLLwMQkbedgigjhiijaafhaohfiis,0,10
gLMzQbcdefffaaahxet,0,6
kLLLwMQkbedgigjhhjjaafhaoajkss,0,10
jLLLAQPbegefghgiiaaxdxsnchs,0,9
jLLLMQPbedfgghgiiaafxssfoxr,0,9
lLLLwMAQcbedgigjhkjjkaafhaoafhjjk,0,11
jLLAMzQbcedfghiiilsajaaaadd,0,9
lLLLMAMPccdgfefhijkkkasaassoaaamm,0,11
kLLLAPPkbefgfihjiijaadldafhttk,0,10
mLLLwMAMQbedgigjhkljllaafhaohfaasii,0,12
iLMzMPcbcdefghhhaaaaahxpi,0,8
mLLLwMQzQbedgigjhhklllaafhaoajkaass,0,12
lLLLwAAQcbdfggijhkjjkhgahbaawxnnj,0,11
lLLLwQzQcbedfighjkkkjaafhasjhajjk,0,11
lLLAMzMPcbcedfghijkkklsajaaaaaadd,0,11
mLLLAPzMQbefgfihjkljllaadldafhaaktt,0,12
kLMzMzMkbcdefghijjjaaaaaaahxet,0,10
