target,source,label
eLPkbcddddkwrs,dLQacccjnjs,Face: 5
eLAkaccddngbak,dLQacccjnjs,Face: 1
fLLQcbcdeeehfrede,eLPkbcddddkwrs,Face: 7
fLLQcccddeetnnrur,eLPkbcddddkwrs,Face: 5
fLLQcbcedeetsxfqq,eLPkbcddddkwrs,Face: 3
gLLAQbcedffftsafhgw,fLLQcbcdeeehfrede,Face: 7
eLAkbccddhhnaj,fLLQcccddeetnnrur,Edge: 7
gLLAQbcedeffasxfajn,fLLQcccddeetnnrur,Face: 10
gLLAQccdeeffqgvuqvj,fLLQcccddeetnnrur,Face: 8
gLLPQccdfeffaknaaof,fLLQcbcedeetsxfqq,Face: 8
gLLAQbcedffftsafacc,fLLQcbcedeetsxfqq,Face: 7
hLLAMkbeedffgghqukaocw,gLLAQbcedffftsafhgw,Face: 8
fLAMcbccdeemejmqj,eLAkbccddhhnaj,Face: 4
fLLQcaddeeenpupxc,eLAkbccddhhnaj,Face: 3
hLLAMkbeedffggaaekawcw,gLLAQbcedeffasxfajn,Face: 5
hLLAAkbcdeefggasreejxk,gLLAQbcedeffasxfajn,Face: 4
hLLAMkbeedffgghqukaocw,gLLAQccdeeffqgvuqvj,Face: 5
hLLAAkccdeefgghkvaqkqj,gLLAQccdeeffqgvuqvj,Face: 4
hLLAMkbeedffggaaekawcw,gLLAQbcedffftsafacc,Face: 8
hLLAMkbcedfgggtsafhauu,gLLAQbcedffftsafacc,Face: 5
hLLAMkbcedfgggtsxfaaqq,gLLAQbcedffftsafacc,Face: 2
gLLAQccdeeffqgvuqvj,hLLAMkbeedffgghqukaocw,Edge: 11
iLLLMQcbedgffghhhhfhjfjfw,hLLAMkbeedffgghqukaocw,Face: 6
gLLPQcdcfeffhsralrf,fLAMcbccdeemejmqj,Face: 7
gLLPQcdcfeffhfraejv,fLAMcbccdeemejmqj,Face: 6
gLLAQccedeffqgifqjw,fLLQcaddeeenpupxc,Face: 5
gLLAQbcedeffajhfasw,fLLQcaddeeenpupxc,Face: 4
gLLAQbcedffftsafacc,hLLAMkbeedffggaaekawcw,Edge: 11
iLLLMQcbedgffghhhafhnnjfw,hLLAMkbeedffggaaekawcw,Face: 4
iLLLMQcbedgffghhaafhjjofw,hLLAMkbeedffggaaekawcw,Face: 1
iLLLQMcbedeffghhahfdxgjxk,hLLAAkbcdeefggasreejxk,Face: 5
gLLPQcdcfeffhsralrf,hLLAAkccdeefgghkvaqkqj,Edge: 12
iLLLQMcbedeffghhahfdxgjxk,hLLAAkccdeefgghkvaqkqj,Face: 7
iLLAMMcbeedffghhxxikarkhw,hLLAAkccdeefgghkvaqkqj,Face: 5
iLLAMPcbcedfghhhtsafhxagg,hLLAMkbcedfgggtsafhauu,Face: 5
iLLAMPcbcedfghhhtsafaaacc,hLLAMkbcedfgggtsxfaaqq,Face: 10
iLLPMPcccdfeghhhqffaaaakk,hLLAMkbcedfgggtsxfaaqq,Face: 8
jLLLMMQbedghhgihihqfhkcohfw,iLLLMQcbedgffghhhhfhjfjfw,Face: 4
hLLAAkccdeefgghkvaqkqj,gLLPQcdcfeffhsralrf,Face: 9
hLvPQkccefgfgghruhmgob,gLLPQcdcfeffhsralrf,Face: 7
hLLAAkccedefggdwxkdoqs,gLLPQcdcfeffhsralrf,Face: 2
hLLAAkbddeefggxrrxqrxk,gLLPQcdcfeffhfraejv,Face: 9
hLLAAkbcdeefggpjgplrxn,gLLPQcdcfeffhfraejv,Face: 6
hLLAAkccedefggdwxvdcqj,gLLPQcdcfeffhfraejv,Face: 2
hLLAAkbddeefggxrrxqrxk,gLLAQccedeffqgifqjw,Face: 5
hLLLQkbefgfefgaadldtvw,gLLAQbcedeffajhfasw,Face: 8
hLLAAkbcdeefggajgeejqs,gLLAQbcedeffajhfasw,Face: 7
jLLLMMQbedghhgihiaafhsoohfw,iLLLMQcbedgffghhhafhnnjfw,Face: 5
jLLLMAQcdgfefhiiihsaarfoate,iLLLMQcbedgffghhhafhnnjfw,Face: 4
jLLLMAQcdgfefhiiiasaarfoall,iLLLMQcbedgffghhaafhjjofw,Face: 7
jLLLMQPcdgfgfghiiasaakskohw,iLLLMQcbedgffghhaafhjjofw,Face: 6
hLLAAkccdeefgghkvaqkqj,iLLLQMcbedeffghhahfdxgjxk,Edge: 11
jLLLMMQbedghhgihiaafhsoohfw,iLLLQMcbedeffghhahfdxgjxk,Face: 7
