id,oriented,tetrahedra
dLQacccjnjs,1,3
eLPkbcddddkwrs,0,4
eLAkaccddngbak,1,4
fLLQcbcdeeehfrede,0,5
fLLQcccddeetnnrur,0,5
fLLQcbcedeetsxfqq,0,5
gLLAQbcedffftsafhgw,0,6
eLAkbccddhhnaj,1,4
gLLAQbcedeffasxfajn,0,6
gLLAQccdeeffqgvuqvj,0,6
gLLPQccdfeffaknaaof,0,6
gLLAQbcedffftsafacc,0,6
hLLAMkbeedffgghqukaocw,0,7
fLAMcbccdeemejmqj,1,5
fLLQcaddeeenpupxc,0,5
hLLAMkbeedffggaaekawcw,0,7
hLLAAkbcdeefggasreejxk,0,7
hLLAAkccdeefgghkvaqkqj,0,7
hLLAMkbcedfgggtsafhauu,0,7
hLLAMkbcedfgggtsxfaaqq,0,7
iLLLMQcbedgffghhhhfhjfjfw,0,8
gLLPQcdcfeffhsralrf,1,6
gLLPQcdcfeffhfraejv,1,6
gLLAQccedeffqgifqjw,0,6
gLLAQbcedeffajhfasw,0,6
iLLLMQcbedgffghhhafhnnjfw,0,8
iLLLMQcbedgffghhaafhjjofw,0,8
iLLLQMcbedeffghhahfdxgjxk,0,8
iLLAMMcbeedffghhxxikarkhw,0,8
iLLAMPcbcedfghhhtsafhxagg,0,8
iLLAMPcbcedfghhhtsafaaacc,0,8
iLLPMPcccdfeghhhqffaaaakk,0,8
jLLLMMQbedghhgihihqfhkcohfw,0,9
hLvPQkccefgfgghruhmgob,1,7
hLLAAkccedefggdwxkdoqs,1,7
hLLAAkbddeefggxrrxqrxk,0,7
hLLAAkbcdeefggpjgplrxn,1,7
hLLAAkccedefggdwxvdcqj,1,7
hLLLQkbefgfefgaadldtvw,0,7
hLLAAkbcdeefggajgeejqs,0,7
jLLLMMQbedghhgihiaafhsoohfw,0,9
jLLLMAQcdgfefhiiihsaarfoate,0,9
jLLLMAQcdgfefhiiiasaarfoall,0,9
jLLLMQPcdgfgfghiiasaakskohw,0,9
jLLAMzQbcedfghiiitsafhaaauu,0,9
jLLAMzQbcedfghiiitsxfaaaaqq,0,9
iLLAMMccedeffghhiivpawkhw,1,8
iLvPMQcccfehghghqjdqwcbbf,1,8
iLLALQccdechgghhhsxrxvjal,1,8
iLLPPMccdfeffghhaklptksqj,0,8
iLLAAMcbdedffghhmvxgxctxk,1,8
iLLALQccdechgghhqgxjxrvai,1,8
iLLLAQcbegefghghaaxdxsncr,0,8
iLLLMQcbedfgghghaafxssfok,0,8
kLLLwMQkbedgijghiijaafhahjjetr,0,10
kLLLwMQkbedgijghiijhhfhahjfttr,0,10
kLLLMAMkcdgfefhijjjhsaawsoahso,0,10
kLLLMAMkcdgfefhijjjasaawsoahcc,0,10
kLLLwMQkbedgigjhhjjaafhaoafwjj,0,10
kLLAMzMkbcedfghijjjtsafhxaaagg,0,10
kLLAMzMkbcedfghijjjtsafaaaaacc,0,10
kLLPMzMkccdfeghijjjqffaaaaaakk,0,10
jLLLMQPccefghggiidwdpwwgnhr,1,9
jLLLPQPccefhgggiidwtlowwoqj,1,9
jLLAMMPbdeefgghiimvehabwtxk,1,9
jLvPPPQccfegihihiqjlqoqvanq,1,9
jLLALAQcdechggiiihsxrxvjlcv,1,9
jLLLPMQbedhghgihiaafxjjoxsn,0,9
jLvAAQPbefefgghiipaemhvnkhw,1,9
jLLLPMQbdehhggihimkdqjcshow,1,9
jLLALAQcdechggiiiqgxjxrvicv,1,9
jLLLAPQbefgfihgiiaadldafwtt,0,9
jLLLMQPcdgfgfghiiagaakgkgxk,0,9
lLLLwMAQcbedgigjhkkkjaafhaohfhoow,0,11
lLLLwMAQcbedgigjhkkkjhafhaohfhkcw,0,11
lLLLMAMPccdgfefhijkkkhsaarfoahatt,0,11
lLLLMAMPccdgfefhijkkkasaarfoaaall,0,11
lLLLwQzQccdgffihjkjjkasaasaoahkkw,0,11
lLLAMzMPcbcedfghijkkktsafhaaaaauu,0,11
lLLAMzMPcbcedfghijkkktsxfaaaaaaqq,0,11
kLvLAPQkcgghjihigijdxauhfwssjw,1,10
kLLLLQAkccehighghjjdwdnwgwnbhr,1,10
kLLLLQAkceffighiijjihheobvbkhr,1,10
kLLLLQAkccehiggiijjdwtonwosbqj,1,10
kLLzLPQkcdcggjihijjhsrbkhhoduv,1,10
kLLLPAAkcedhhghgijjiifxvwvnaqs,1,10
kLLAzAAkbdeeghghijjmvehqqfdsxk,1,10
kLvzMMQkccfhighjijjhrhnbggashp,1,10
kLLALAMkcdechggijjjhsxrxvjlxxa,1,10
kLLLwQAkbedfigiihjjaafiaotlfqj,0,10
kLLzvQQkcdciihjihjjhsrtmkplodh,1,10
kLLLPPMkccgefigiijjdwuardnutqj,1,10
kLLLMLQkcdgefjhiiijhshprqoaixj,1,10
kLLALAMkcdechggijjjqgxjxrvixxa,1,10
