id,oriented,tetrahedra
cPcbbbdxm,1,2
dLQacccjgnb,1,3
eLPkbcdddlgjss,-1,4
eLAkbbcdddhgaj,-1,4
eLAkaccddngbqw,1,4
eLAkaccddjgnxn,-1,4
fLLQcacdeeenkadnj,0,5
fLLQccceddetnacwn,-1,5
fLLQcadedeejaulxk,-1,5
fLAMcaccdeensnxhj,-1,5
gLLMQbcdefffebbtuvb,-1,6
gLLMQbcdefffebbqujw,-1,6
gLLAQbcdeeffhfreejj,-1,6
gLvQQaefdeffnhqhbfs,-1,6
gLLQPccddefftnnruhj,0,6
gLLAQccdeeffawveicr,-1,6
gLLMQcededffahnenww,-1,6
gLLAQbddeeffhgcuecr,-1,6
gLLAQccdeeffakvhqkw,0,6
fLAMcbccdeehhnaqw,1,5
hLALPkbccegfggdiggdenf,-1,7
hLLAAkccdeefggifveuvxr,-1,7
hLvQAkcdceffgghvnlebpr,-1,7
hLLAAkcedeefgghavthhxr,-1,7
hLLAAkccedefggqfakdkqw,-1,7
hLLAAkbcedefggasxfajxr,0,7
hLLAAkccdeefggqgvuqvqw,-1,7
hLLMMkcddeffggakbxdctr,-1,7
hLALPkbcbegfgghajohmrs,-1,7
hLLMMkcddeffggarvmtjaj,-1,7
fLLQcbcedeelsajdd,0,5
hLLLQkbdfefgggasdxdkkc,-1,7
hLLMAkbddeefggajriisaj,-1,7
hLvAQkadfefgggjaucfjjv,-1,7
hLLAMkbeedffggaapkabkk,0,7
hLLzQkcdefegfglraqlvkc,-2,7
hLLAAkbcedffggdfafanik,-1,7
gLALQbccfeffdigxflm,-1,6
gLALQbcbfeffhhjdvma,-1,6
gLLAQbceeefftkamixj,0,6
iLALLQccbceghghhudbsasosf,-1,8
iLvMQMcbfdfegfhhamfeucfhk,-1,8
iLLAAMcbcedffghhlsafantqn,-1,8
iLLPzQccdcffgghhhsnarrrqg,-2,8
iLLPLQccdcffgghhhsnavvvac,-2,8
iLLAMMcbeedffghhaaekawchk,0,8
iLLMLQcaceehhgghnktftlmmb,-1,8
iLALzQccbbeghghhhhkohnsno,-1,8
eLMkbcdddahxpi,0,4
gLLAQccedefftniomcb,-2,6
gvLQQcdeffefjjbtlbh,-1,6
gLLAQbcedfffajhfawr,-1,6
gLLAQcddefffacvxxoo,-1,6
iLLLAQcbedegghhhaafddvhph,-1,8
iLLAwQcbedefghhhaarudfutx,-1,8
iLLMPPcacdefgghhnkacklmgf,-2,8
iLLMPPcacdefgghhnkacbhmov,-2,8
iLLMPMcacdegfghhnkanhbaof,-2,8
iLLMPMcacdegfghhnkanmcagb,-2,8
iLvLQQcaegefghhhjxgcfcjjo,-1,8
