target,source,label
fLLQcaddeeenmappc,eLAkaccddngbak,Face: 7
fLAMcaccdeensnxak,eLAkaccddngbak,Face: 5
dLQacccjnjs,eLAkaccddngbak,Edge: 6
eLPkbcddddkwrs,dLQacccjnjs,Face: 6
eLAkaccddjgnqj,dLQacccjnjs,Face: 2
eLAkbbcdddhgxr,dLQacccjnjs,Face: 1
fLLQcbedededpoqfq,eLPkbcddddkwrs,Face: 8
fLLQcccddeetnnrur,eLPkbcddddkwrs,Face: 7
fLLQcbcdeeehfrede,eLPkbcddddkwrs,Face: 6
fvPQccdedeejojvfj,eLPkbcddddkwrs,Face: 5
fLLQcbcedeeljhbdd,eLPkbcddddkwrs,Face: 4
fLLQcbecdeeairfmu,eLPkbcddddkwrs,Face: 3
fLLQcbcdeeedfbpqa,eLPkbcddddkwrs,Face: 2
fLLQcbcedeetsxfqq,eLPkbcddddkwrs,Face: 1
eLAkbccddhhnaj,fLLQcccddeetnnrur,Edge: 8
gLLAQccdeeffifveuvn,fLLQcccddeetnnrur,Face: 10
gLwAQacedeffjgixber,fLLQcccddeetnnrur,Face: 9
gLLAQaddefffnhadvjj,fLLQcccddeetnnrur,Face: 8
gLLAQccedeffqfakdkj,fLLQcccddeetnnrur,Face: 7
gLLAQbcedeffasxfajn,fLLQcccddeetnnrur,Face: 6
gLLAQccdeeffqgvuqvj,fLLQcccddeetnnrur,Face: 5
gLLAQbdeefffdoalxxv,fLLQcccddeetnnrur,Face: 4
gLLQPcdcdefftgrfmaw,fLLQcccddeetnnrur,Face: 3
gLLMQbdeefffevimppc,fLLQcccddeetnnrur,Face: 2
gvLQQcdfeeffwrqfjip,fLLQcbcdeeehfrede,Face: 10
gLLMQbcdefffdfbtufn,fLLQcbcdeeehfrede,Face: 9
gLLAQbddefffdwnhafg,fLLQcbcdeeehfrede,Face: 8
gLLMQbcdeffflscligf,fLLQcbcdeeehfrede,Face: 7
gLLAQbcdeeffxbraagn,fLLQcbcdeeehfrede,Face: 6
gLLPQccdfeffhvkqqof,fLLQcbcdeeehfrede,Face: 5
gLLAQbcedffftsafhgw,fLLQcbcdeeehfrede,Face: 4
gLLPQcdefeffakpqqur,fLLQcbcdeeehfrede,Face: 3
gLLAQbcdefffdjctuss,fLLQcbcdeeehfrede,Face: 2
gLLAQbcedffftsxfagb,fLLQcbcdeeehfrede,Face: 1
gLLPQccdfeffaknaaof,fLLQcbcedeetsxfqq,Face: 10
gLLAQbcedffftsafacc,fLLQcbcedeetsxfqq,Face: 9
gLLMQbddeeffajriisk,fLLQcbcedeetsxfqq,Face: 8
gLvQQbefdeffadlfmif,fLLQcbcedeetsxfqq,Face: 7
gLLAQcddeefflrjalvc,fLLQcbcedeetsxfqq,Face: 6
gLLAQbcdefffebbalss,fLLQcbcedeetsxfqq,Face: 4
fLLQcbcdeeedfbpqa,eLAkbccddhhnaj,Face: 7
fLAMcbccdeemejmqj,eLAkbccddhhnaj,Face: 6
fLLQcaddeeenpupxc,eLAkbccddhhnaj,Face: 5
fLLQcbcdeeedfbpqa,eLAkbccddhhnaj,Face: 4
hLvMQkbfdfegfgamfeucfw,gLLAQbcedeffasxfajn,Face: 12
hLLAAkbcedffgglsafantj,gLLAQbcedeffasxfajn,Face: 11
hLLMAkacdfefggjkasjsxo,gLLAQbcedeffasxfajn,Face: 10
hLLMMkacdfefggjkagggab,gLLAQbcedeffasxfajn,Face: 9
hLLAMkbeedffggaaekawcw,gLLAQbcedeffasxfajn,Face: 8
hLLLQkcddegfgglgfmwfgg,gLLAQbcedeffasxfajn,Face: 7
hLLAAkbcdeefggasreejxk,gLLAQbcedeffasxfajn,Face: 6
hLLAPkacdefgggjkapatrv,gLLAQccdeeffqgvuqvj,Face: 12
hLLAAkcddeffgglrvatraj,gLLAQccdeeffqgvuqvj,Face: 11
hLvPQkafegefggjqmgcfsf,gLLAQccdeeffqgvuqvj,Face: 10
hLLMAkbdedffggpfaflolj,gLLAQccdeeffqgvuqvj,Face: 9
hLLLQkbddffggghvftrjvb,gLLAQccdeeffqgvuqvj,Face: 8
hLLAMkbeedffgghqukaocw,gLLAQccdeeffqgvuqvj,Face: 7
hLLAAkccdeefgghkvaqkqj,gLLAQccdeeffqgvuqvj,Face: 6
hLLLQkcddefgggqskpbgns,gLLAQccdeeffqgvuqvj,Face: 5
hLLAAkccdeffggugvxajln,gLLAQccdeeffqgvuqvj,Face: 3
hLLLQkbedeffggaxftxnok,gLLAQccdeeffqgvuqvj,Face: 2
hLLPMkcdfeffggakeaarbj,gLLAQccdeeffqgvuqvj,Face: 1
hLLAPkbddefgggevjivvkj,gLLAQbcedffftsafhgw,Face: 12
hLLLQkcddfgfggpkrxwkfg,gLLAQbcedffftsafhgw,Face: 11
hLLMPkbcefeggglsqmhnbf,gLLAQbcedffftsafhgw,Face: 10
hLLLQkbddfggfgdwftfbwn,gLLAQbcedffftsafhgw,Face: 9
